Time (s),DeltaTime (s)
50.8405,0.007332
50.8517,0.011122
50.8601,0.008435
50.8622,0.002077
50.8638,0.001656
50.8669,0.003128
50.8717,0.004762
50.8745,0.002832
50.8763,0.001771
50.8782,0.001920
50.8835,0.005236
50.8900,0.006561
50.8918,0.001729
50.8948,0.003070
50.9006,0.005785
50.9055,0.004933
50.9074,0.001838
50.9110,0.003619
50.9167,0.005668
50.9230,0.006294
50.9251,0.002120
50.9282,0.003089
50.9335,0.005305
50.9436,0.010160
50.9465,0.002842
50.9501,0.003646
50.9537,0.003609
50.9566,0.002862
50.9584,0.001854
50.9603,0.001820
50.9654,0.005109
50.9723,0.006947
50.9752,0.002831
50.9780,0.002885
50.9824,0.004389
50.9885,0.006068
50.9902,0.001731
50.9939,0.003697
51.0010,0.007033
51.0058,0.004889
51.0078,0.001996
51.0119,0.004074
51.0163,0.004425
51.0194,0.003052
51.0249,0.005467
51.0274,0.002541
51.0311,0.003713
51.0357,0.004606
51.0390,0.003313
51.0440,0.004930
51.0472,0.003249
51.0515,0.004265
51.0543,0.002821
51.0583,0.003957
51.0616,0.003391
51.0666,0.004934
51.0698,0.003189
51.0733,0.003514
51.0770,0.003689
51.0817,0.004688
51.0859,0.004262
51.0894,0.003520
51.0932,0.003731
51.0970,0.003814
51.1024,0.005411
51.1058,0.003358
51.1089,0.003131
51.1125,0.003571
51.1179,0.005438
51.1203,0.002423
51.1244,0.004080
51.1283,0.003942
51.1327,0.004360
51.1366,0.003884
51.1401,0.003479
51.1434,0.003379
51.1477,0.004288
51.1525,0.004774
51.1557,0.003226
51.1593,0.003588
51.1631,0.003829
51.1688,0.005628
51.1712,0.002398
51.1750,0.003780
51.1784,0.003455
51.1833,0.004903
51.1867,0.003384
51.1901,0.003367
51.1937,0.003635
51.1993,0.005598
51.2023,0.002963
51.2060,0.003782
51.2098,0.003708
51.2133,0.003561
51.2190,0.005663
51.2214,0.002390
51.2253,0.003927
51.2292,0.003904
51.2342,0.005007
51.2369,0.002656
51.2402,0.003379
51.2444,0.004209
51.2490,0.004578
51.2523,0.003314
51.2562,0.003817
51.2605,0.004307
51.2654,0.004954
51.2697,0.004305
51.2723,0.002626
51.2760,0.003665
51.2798,0.003823
51.2845,0.004686
51.2876,0.003086
51.2916,0.003974
51.2950,0.003394
51.2996,0.004616
51.3029,0.003345
51.3070,0.004039
51.3103,0.003330
51.3153,0.005016
51.3188,0.003469
51.3228,0.003970
51.3270,0.004274
51.3302,0.003165
51.3356,0.005356
51.3388,0.003212
51.3430,0.004241
51.3499,0.006910
51.3562,0.006260
51.3617,0.005524
51.3666,0.004932
51.3713,0.004699
51.3750,0.003666
51.3777,0.002716
51.3803,0.002532
51.3855,0.005288
51.3887,0.003126
51.3914,0.002776
51.3954,0.003947
51.4012,0.005803
51.4038,0.002613
51.4087,0.004858
51.4125,0.003839
51.4194,0.006901
51.4217,0.002265
51.4246,0.002910
51.4313,0.006747
51.4367,0.005418
51.4394,0.002637
51.4424,0.003015
51.4465,0.004084
51.4523,0.005793
51.4546,0.002333
51.4610,0.006362
51.4633,0.002383
51.4682,0.004819
51.4709,0.002693
51.4745,0.003598
51.4777,0.003222
51.4826,0.004957
51.4859,0.003231
51.4894,0.003575
51.4934,0.003935
51.4971,0.003686
51.5021,0.004997
51.5059,0.003851
51.5095,0.003592
51.5134,0.003874
51.5195,0.006133
51.5213,0.001830
51.5261,0.004733
51.5316,0.005573
51.5350,0.003358
51.5379,0.002881
51.5419,0.004018
51.5452,0.003306
51.5500,0.004800
51.5533,0.003341
51.5570,0.003685
51.5606,0.003595
51.5659,0.005269
51.5695,0.003634
51.5729,0.003322
51.5767,0.003803
51.5801,0.003430
51.5856,0.005492
51.5885,0.002944
51.5919,0.003398
51.5957,0.003753
51.6014,0.005772
51.6038,0.002398
51.6074,0.003559
51.6113,0.003873
51.6161,0.004871
51.6194,0.003219
51.6237,0.004374
51.6272,0.003494
51.6330,0.005749
51.6365,0.003507
51.6398,0.003295
51.6435,0.003668
51.6490,0.005510
51.6523,0.003326
51.6556,0.003315
51.6594,0.003753
51.6631,0.003764
51.6686,0.005510
51.6715,0.002840
51.6751,0.003602
51.6793,0.004207
51.6839,0.004661
51.6867,0.002746
51.6903,0.003605
51.6943,0.004055
51.6989,0.004566
51.7021,0.003236
51.7062,0.004024
51.7097,0.003519
51.7135,0.003817
51.7191,0.005575
51.7214,0.002331
51.7251,0.003728
51.7293,0.004207
51.7341,0.004768
51.7372,0.003060
51.7409,0.003687
51.7444,0.003546
51.7491,0.004657
51.7526,0.003492
51.7563,0.003730
51.7600,0.003691
51.7641,0.004156
51.7688,0.004706
51.7721,0.003260
51.7771,0.004971
51.7803,0.003239
51.7855,0.005157
