Time (s),DeltaTime (s)
45.1733,0.007528
45.1845,0.011191
45.1924,0.007876
45.1945,0.002118
45.1962,0.001640
45.1982,0.001987
45.2022,0.004063
45.2063,0.004119
45.2081,0.001734
45.2116,0.003535
45.2181,0.006519
45.2221,0.004014
45.2245,0.002410
45.2286,0.004063
45.2347,0.006076
45.2394,0.004665
45.2501,0.010699
45.2530,0.002922
45.2549,0.001879
45.2580,0.003129
45.2609,0.002868
45.2627,0.001810
45.2707,0.008050
45.2736,0.002889
45.2760,0.002435
45.2803,0.004238
45.2890,0.008753
45.3015,0.012452
45.3137,0.012259
45.3265,0.012781
45.3379,0.011368
45.3465,0.008614
45.3488,0.002274
45.3528,0.004014
45.3559,0.003159
45.3585,0.002530
45.3697,0.011216
45.3750,0.005307
45.3868,0.011779
45.3896,0.002813
45.3985,0.008940
45.4033,0.004777
45.4122,0.008897
45.4231,0.010878
45.4338,0.010733
45.4432,0.009392
45.4452,0.001972
45.4468,0.001628
45.4516,0.004810
45.4625,0.010866
45.4734,0.010923
45.4855,0.012127
45.4945,0.008943
45.4976,0.003140
45.5027,0.005083
45.5062,0.003513
45.5091,0.002887
45.5113,0.002242
45.5132,0.001904
45.5167,0.003484
45.5227,0.005971
45.5360,0.013347
45.5420,0.005937
45.5445,0.002515
45.5464,0.001910
45.5496,0.003155
45.5543,0.004712
45.5575,0.003274
45.5593,0.001748
45.5619,0.002598
45.5636,0.001724
45.5699,0.006234
45.5734,0.003591
45.5762,0.002731
45.5793,0.003098
45.5866,0.007301
45.5908,0.004225
45.5927,0.001929
45.5965,0.003781
45.6029,0.006352
45.6077,0.004862
45.6115,0.003807
45.6165,0.004990
45.6202,0.003686
45.6224,0.002194
45.6240,0.001592
45.6272,0.003186
45.6324,0.005249
45.6382,0.005773
45.6400,0.001831
45.6434,0.003396
45.6474,0.003935
45.6541,0.006738
45.6559,0.001765
45.6593,0.003484
45.6630,0.003665
45.6708,0.007787
45.6726,0.001767
45.6758,0.003242
45.6796,0.003759
45.6864,0.006822
45.6883,0.001917
45.6919,0.003610
45.6952,0.003305
45.7007,0.005471
45.7030,0.002329
45.7067,0.003640
45.7103,0.003665
45.7156,0.005221
45.7186,0.003080
45.7223,0.003710
45.7260,0.003672
45.7300,0.004030
45.7354,0.005349
45.7381,0.002731
45.7414,0.003233
45.7450,0.003646
45.7500,0.004990
45.7528,0.002836
45.7564,0.003549
45.7602,0.003844
45.7642,0.003971
45.7688,0.004598
45.7723,0.003543
45.7759,0.003589
45.7795,0.003606
45.7858,0.006229
45.7883,0.002553
45.7919,0.003613
45.7957,0.003757
45.8004,0.004758
45.8032,0.002724
45.8074,0.004277
45.8108,0.003329
45.8155,0.004689
45.8190,0.003539
45.8226,0.003598
45.8263,0.003724
45.8302,0.003864
45.8353,0.005114
45.8382,0.002878
45.8419,0.003745
45.8453,0.003420
45.8506,0.005230
45.8535,0.002904
45.8569,0.003455
45.8605,0.003593
45.8656,0.005103
45.8694,0.003806
45.8733,0.003892
45.8772,0.003924
45.8815,0.004299
45.8878,0.006264
45.8897,0.001856
45.8933,0.003683
45.8965,0.003112
45.9031,0.006638
45.9049,0.001798
45.9084,0.003530
45.9116,0.003178
45.9176,0.005961
45.9197,0.002146
45.9237,0.004009
45.9271,0.003370
45.9325,0.005409
45.9359,0.003427
45.9397,0.003765
45.9431,0.003440
45.9466,0.003503
45.9529,0.006288
45.9549,0.002011
45.9583,0.003378
45.9626,0.004280
45.9674,0.004817
45.9698,0.002368
45.9738,0.004030
45.9774,0.003598
45.9830,0.005566
45.9865,0.003523
45.9908,0.004274
45.9943,0.003538
45.9986,0.004275
46.0026,0.004006
46.0057,0.003130
46.0096,0.003906
46.0143,0.004697
46.0195,0.005169
46.0213,0.001796
46.0251,0.003775
46.0291,0.004004
46.0344,0.005297
46.0366,0.002255
46.0400,0.003378
46.0441,0.004080
46.0490,0.004902
46.0520,0.003018
46.0562,0.004217
46.0601,0.003847
46.0632,0.003188
46.0693,0.006040
46.0716,0.002289
46.0755,0.003950
46.0787,0.003193
46.0840,0.005256
46.0906,0.006583
46.0964,0.005861
46.1018,0.005379
46.1040,0.002169
46.1064,0.002426
46.1086,0.002236
46.1111,0.002472
46.1168,0.005675
46.1193,0.002529
46.1228,0.003494
46.1272,0.004379
46.1308,0.003654
46.1362,0.005357
46.1389,0.002703
46.1427,0.003791
46.1460,0.003322
46.1522,0.006234
46.1545,0.002236
46.1576,0.003116
46.1612,0.003582
46.1675,0.006324
