Time (s),DeltaTime (s)
53.7462,0.006054
53.7560,0.009802
53.7661,0.010116
53.7681,0.001970
53.7697,0.001617
53.7714,0.001670
53.7750,0.003598
53.7811,0.006128
53.7836,0.002496
53.7854,0.001749
53.7873,0.001969
53.7938,0.006419
53.8041,0.010380
53.8072,0.003042
53.8115,0.004278
53.8147,0.003232
53.8175,0.002835
53.8200,0.002505
53.8217,0.001616
53.8270,0.005353
53.8321,0.005120
53.8340,0.001919
53.8379,0.003899
53.8429,0.004974
53.8478,0.004857
53.8499,0.002096
53.8534,0.003527
53.8581,0.004742
53.8642,0.006084
53.8664,0.002190
53.8700,0.003623
53.8750,0.004962
53.8780,0.003039
53.8818,0.003716
53.8854,0.003662
53.8889,0.003515
53.8940,0.005045
53.8973,0.003374
53.9005,0.003173
53.9036,0.003049
53.9084,0.004791
53.9115,0.003179
53.9151,0.003595
53.9189,0.003726
53.9222,0.003369
53.9269,0.004620
53.9298,0.002936
53.9331,0.003292
53.9366,0.003476
53.9410,0.004401
53.9449,0.003956
53.9490,0.004090
53.9518,0.002763
53.9548,0.003040
53.9596,0.004745
53.9627,0.003111
53.9658,0.003146
53.9701,0.004298
53.9746,0.004512
53.9783,0.003703
53.9811,0.002741
53.9845,0.003421
53.9878,0.003284
53.9927,0.004954
53.9956,0.002922
53.9988,0.003159
54.0024,0.003548
54.0218,0.019412
54.0312,0.009483
54.0396,0.008363
54.0474,0.007821
54.0550,0.007590
54.0626,0.007583
54.0695,0.006850
54.0776,0.008159
54.0848,0.007184
54.0913,0.006549
54.0989,0.007566
54.1055,0.006594
54.1134,0.007850
54.1201,0.006732
54.1283,0.008243
54.1350,0.006698
54.1420,0.006960
54.1491,0.007114
54.1560,0.006937
54.1639,0.007841
54.1711,0.007259
54.1789,0.007795
54.1857,0.006776
54.1924,0.006716
54.2000,0.007579
54.2070,0.006953
54.2156,0.008605
54.2223,0.006756
54.2305,0.008177
54.2371,0.006624
54.2449,0.007755
54.2515,0.006605
54.2594,0.007902
54.2671,0.007703
54.2739,0.006862
54.2820,0.008034
54.2893,0.007287
54.2969,0.007588
54.3040,0.007176
54.3121,0.008081
54.3201,0.007946
54.3281,0.008010
54.3396,0.011505
54.3602,0.020661
54.3632,0.002968
54.3651,0.001907
54.3673,0.002148
54.3691,0.001801
54.3714,0.002332
54.3741,0.002664
54.3782,0.004177
54.3808,0.002569
54.3844,0.003572
54.3874,0.003019
