Time (s),DeltaTime (s)
63.7326,0.035464
63.7519,0.019251
63.7716,0.019681
63.7919,0.020373
63.8047,0.012797
63.8073,0.002603
63.8269,0.019559
63.8305,0.003609
63.8494,0.018864
63.8691,0.019686
63.8884,0.019343
63.9102,0.021840
63.9310,0.020776
63.9527,0.021677
63.9738,0.021148
63.9938,0.020012
64.0147,0.020883
64.0360,0.021305
64.0581,0.022087
64.0791,0.021020
64.1011,0.021987
64.1219,0.020777
64.1677,0.045811
64.2083,0.040586
64.2279,0.019618
64.2312,0.003232
64.2480,0.016869
64.2500,0.001940
64.2694,0.019431
64.2932,0.023859
64.3133,0.020041
64.3349,0.021573
64.3565,0.021620
64.3782,0.021718
64.3998,0.021607
64.4221,0.022337
64.4725,0.050312
64.5119,0.039441
64.5322,0.020317
64.5349,0.002711
64.5538,0.018847
64.5559,0.002172
64.5769,0.020998
64.5993,0.022318
64.6192,0.019985
64.6403,0.021085
64.6624,0.022033
64.6841,0.021689
64.7055,0.021457
64.7307,0.025176
64.7493,0.018638
64.7704,0.021036
64.7930,0.022670
64.8136,0.020586
64.8366,0.023023
64.8575,0.020877
64.8784,0.020835
64.9009,0.022510
64.9463,0.045446
64.9876,0.041266
65.0081,0.020501
65.0104,0.002293
65.0319,0.021545
65.0339,0.002003
65.0511,0.017191
65.0715,0.020351
65.0946,0.023099
65.1152,0.020662
65.1361,0.020922
65.1573,0.021178
65.1803,0.022982
65.2008,0.020519
65.2235,0.022698
65.2436,0.020055
65.2658,0.022251
65.2875,0.021676
65.3084,0.020862
65.3306,0.022213
65.3533,0.022729
65.3749,0.021549
65.3978,0.022904
65.4180,0.020260
65.4649,0.046863
65.5097,0.044789
65.5341,0.024443
65.5556,0.021447
65.5787,0.023191
65.6024,0.023600
65.6159,0.013572
65.6178,0.001861
65.6387,0.020876
65.6424,0.003694
65.6621,0.019782
65.6844,0.022290
65.7046,0.020154
65.7514,0.046843
65.7947,0.043245
65.8206,0.025955
65.8352,0.014543
65.8625,0.027301
65.8857,0.023231
65.9103,0.024626
65.9327,0.022375
65.9538,0.021111
65.9672,0.013372
65.9692,0.001997
65.9893,0.020119
65.9990,0.009654
66.0128,0.013837
66.0365,0.023732
66.0561,0.019541
66.0774,0.021321
66.0973,0.019952
66.1190,0.021702
66.1382,0.019146
66.1578,0.019629
66.1789,0.021095
66.1988,0.019923
66.2198,0.021000
66.2394,0.019600
66.2603,0.020913
66.2812,0.020883
66.3014,0.020205
66.3226,0.021162
66.3425,0.019859
66.3641,0.021632
66.3840,0.019931
66.4048,0.020832
66.4238,0.018907
66.4444,0.020685
66.4648,0.020333
66.4844,0.019629
66.5061,0.021738
66.5269,0.020787
66.5463,0.019372
66.5671,0.020845
66.5878,0.020638
66.6095,0.021768
66.6306,0.021025
66.6514,0.020835
66.6716,0.020234
66.6929,0.021296
66.7154,0.022425
66.7602,0.044791
66.8009,0.040730
66.8203,0.019420
66.8224,0.002105
66.8417,0.019255
66.8443,0.002667
66.8640,0.019643
66.8854,0.021469
66.9337,0.048302
66.9496,0.015821
66.9711,0.021560
66.9927,0.021587
66.9964,0.003680
67.0148,0.018420
67.0351,0.020334
67.0582,0.023075
67.0798,0.021579
67.1017,0.021934
67.1233,0.021548
67.1452,0.021902
67.1662,0.020968
67.1898,0.023649
67.2346,0.044772
67.2540,0.019397
67.3009,0.046889
67.3033,0.002464
67.3175,0.014201
67.3412,0.023675
67.3449,0.003726
67.3634,0.018479
67.3838,0.020414
67.4057,0.021859
67.4284,0.022681
67.4492,0.020830
67.4706,0.021462
67.4920,0.021368
67.5144,0.022361
67.5352,0.020838
67.5564,0.021191
67.5781,0.021699
67.5995,0.021363
67.6213,0.021866
67.6426,0.021226
67.6642,0.021643
67.6848,0.020578
67.7062,0.021384
67.7272,0.021052
67.7486,0.021426
67.7704,0.021757
67.7911,0.020688
67.8127,0.021629
67.8339,0.021130
67.8552,0.021326
67.8769,0.021710
67.8982,0.021279
67.9195,0.021384
67.9423,0.022702
67.9638,0.021597
67.9866,0.022759
68.0066,0.020036
68.0281,0.021509
68.0499,0.021732
68.0719,0.022019
68.0944,0.022530
68.1155,0.021112
68.1372,0.021624
68.1594,0.022191
68.1809,0.021505
68.2031,0.022196
68.2248,0.021758
68.2467,0.021908
68.2694,0.022653
68.2907,0.021290
68.3126,0.021915
68.3342,0.021629
68.3558,0.021550
68.3778,0.022020
68.3999,0.022134
68.4230,0.023068
68.4434,0.020406
68.4654,0.022035
68.4866,0.021164
68.5082,0.021620
68.5301,0.021856
68.5515,0.021475
68.5729,0.021397
68.5948,0.021897
68.6159,0.021048
68.6372,0.021271
68.6593,0.022111
68.6803,0.021053
68.7020,0.021635
68.7239,0.021918
68.7440,0.020097
68.7654,0.021383
68.7864,0.021005
68.8091,0.022707
68.8730,0.063932
68.8919,0.018918
68.9135,0.021542
68.9155,0.002004
68.9322,0.016724
68.9528,0.020629
68.9562,0.003348
68.9758,0.019599
69.0385,0.062736
69.0575,0.018974
69.0786,0.021107
69.0807,0.002103
69.0978,0.017086
69.1171,0.019293
69.1192,0.002184
69.1388,0.019530
69.2043,0.065559
69.2417,0.037347
69.2461,0.004421
69.2477,0.001608
69.2658,0.018095
