Time (s),DeltaTime (s)
37.0863,0.006754
37.1004,0.014082
37.1124,0.012029
37.1147,0.002348
37.1166,0.001841
37.1228,0.006256
37.1298,0.006975
37.1326,0.002829
37.1374,0.004727
37.1474,0.010058
37.1535,0.006113
37.1642,0.010674
37.1698,0.005623
37.1820,0.012148
37.1864,0.004461
37.1953,0.008813
37.2032,0.007956
37.2118,0.008587
37.2188,0.007023
37.2294,0.010605
37.2350,0.005603
37.2507,0.015691
37.2555,0.004806
37.2659,0.010400
37.2689,0.002993
37.2779,0.009001
37.2837,0.005776
37.2928,0.009143
37.2986,0.005793
37.3073,0.008638
37.3136,0.006355
37.3210,0.007348
37.3285,0.007514
37.3358,0.007327
37.3444,0.008566
37.3519,0.007491
37.3610,0.009076
37.3677,0.006709
37.3774,0.009768
37.3831,0.005636
37.3915,0.008406
37.3979,0.006443
37.4060,0.008084
37.4130,0.006997
37.4205,0.007508
37.4281,0.007552
37.4351,0.007082
37.4442,0.009100
37.4510,0.006749
37.4602,0.009188
37.4666,0.006464
37.4747,0.008017
37.4813,0.006686
37.4886,0.007263
37.4958,0.007185
37.5035,0.007724
37.5109,0.007414
37.5184,0.007443
37.5272,0.008807
37.5343,0.007115
37.5427,0.008391
37.5494,0.006675
37.5578,0.008474
37.5644,0.006582
37.5717,0.007235
37.5801,0.008406
37.5866,0.006547
37.5945,0.007883
37.6016,0.007066
37.6110,0.009411
37.6175,0.006560
37.6263,0.008781
37.6327,0.006423
37.6414,0.008685
37.6477,0.006337
37.6553,0.007515
37.6624,0.007155
37.6698,0.007416
37.6788,0.008919
37.6851,0.006394
37.6944,0.009240
37.7013,0.006943
37.7097,0.008403
37.7161,0.006411
37.7250,0.008827
37.7314,0.006450
37.7394,0.008023
37.7464,0.007004
37.7545,0.008061
37.7622,0.007656
37.7694,0.007189
37.7777,0.008311
37.7853,0.007648
37.7941,0.008794
37.8008,0.006688
37.8095,0.008677
37.8160,0.006515
37.8243,0.008353
37.8310,0.006622
37.8383,0.007387
37.8456,0.007294
37.8532,0.007558
37.8608,0.007572
37.8682,0.007392
37.8770,0.008825
37.8843,0.007339
37.8923,0.007997
37.8990,0.006629
37.9070,0.008027
37.9138,0.006835
37.9211,0.007327
37.9290,0.007854
37.9357,0.006655
37.9446,0.008990
37.9517,0.007027
37.9606,0.008962
37.9672,0.006528
37.9761,0.008939
37.9827,0.006552
37.9908,0.008102
37.9967,0.005953
38.0048,0.008046
38.0121,0.007385
38.0201,0.007952
38.0271,0.007023
38.0346,0.007485
38.0447,0.010088
38.0502,0.005490
38.0587,0.008479
38.0652,0.006537
38.0736,0.008379
38.0800,0.006463
38.0877,0.007682
38.0950,0.007287
38.1027,0.007686
38.1106,0.007946
38.1181,0.007439
38.1270,0.008941
