Time (s),DeltaTime (s)
89.2682,0.021070
89.2920,0.023814
89.3342,0.042259
89.3514,0.017182
89.3751,0.023636
89.3781,0.003073
89.3805,0.002394
89.3931,0.012585
89.4155,0.022414
89.4390,0.023480
89.4623,0.023333
89.4859,0.023591
89.5076,0.021626
89.5296,0.022028
89.5520,0.022436
89.5749,0.022880
89.5975,0.022591
89.6192,0.021738
89.6422,0.022980
89.6645,0.022255
89.6868,0.022346
89.7098,0.022997
89.7318,0.021947
89.7544,0.022612
89.7768,0.022459
89.7992,0.022416
89.8214,0.022203
89.8438,0.022319
89.8923,0.048520
89.9385,0.046161
89.9631,0.024661
89.9792,0.016098
89.9812,0.002000
90.0018,0.020602
90.0079,0.006128
90.0257,0.017768
90.0489,0.023231
90.0702,0.021313
90.1200,0.049747
90.1650,0.045028
90.1904,0.025323
90.2164,0.026083
90.2373,0.020886
90.2536,0.016325
90.2573,0.003611
90.2797,0.022408
90.3047,0.025014
90.3486,0.043892
90.3745,0.025942
90.3989,0.024383
90.4163,0.017401
90.4183,0.002009
90.4409,0.022582
90.4443,0.003436
90.4619,0.017537
90.5125,0.050668
90.5582,0.045640
90.5839,0.025784
90.6080,0.024096
90.6243,0.016254
90.6283,0.004024
90.6455,0.017142
90.6481,0.002591
90.6678,0.019788
90.6945,0.026634
90.7157,0.021181
90.7378,0.022154
90.7591,0.021241
90.7823,0.023229
90.8049,0.022603
90.8537,0.048788
90.8966,0.042941
90.9187,0.022122
90.9231,0.004338
90.9378,0.014707
90.9420,0.004202
90.9598,0.017868
90.9816,0.021721
91.0042,0.022614
91.0276,0.023387
91.0490,0.021465
91.0700,0.020997
91.0918,0.021809
91.1133,0.021441
91.1346,0.021280
91.1548,0.020275
91.1779,0.023022
91.2236,0.045697
91.2642,0.040605
91.2866,0.022435
91.3126,0.025994
91.3148,0.002240
91.3275,0.012622
91.3478,0.020374
91.3498,0.002008
91.3704,0.020578
91.3930,0.022569
91.4134,0.020475
91.4355,0.022008
91.4576,0.022154
91.4799,0.022264
91.5024,0.022499
91.5247,0.022303
91.5462,0.021539
91.5677,0.021444
91.5898,0.022131
91.6122,0.022436
91.6345,0.022262
91.6563,0.021774
91.6780,0.021731
91.7013,0.023317
91.7227,0.021359
91.7446,0.021911
91.7665,0.021936
91.7892,0.022705
91.8133,0.024061
91.8601,0.046838
91.8796,0.019442
91.9031,0.023576
91.9310,0.027844
91.9472,0.016204
91.9722,0.024985
91.9927,0.020501
91.9963,0.003602
92.0149,0.018666
92.0392,0.024221
92.0622,0.023066
92.0852,0.022966
92.1082,0.023039
92.1317,0.023517
92.1540,0.022207
92.1764,0.022486
92.1997,0.023285
92.2217,0.021995
92.2452,0.023451
92.2670,0.021837
92.2896,0.022582
92.3129,0.023290
92.3351,0.022190
92.3821,0.047035
92.4018,0.019642
92.4238,0.022015
92.4469,0.023176
92.4503,0.003321
92.4683,0.018060
92.4920,0.023631
92.5136,0.021625
92.5362,0.022588
92.5590,0.022798
92.5812,0.022199
92.6032,0.022083
92.6253,0.022084
92.6475,0.022159
92.6698,0.022340
92.6920,0.022215
92.7144,0.022345
92.7373,0.022911
92.7594,0.022124
92.7820,0.022573
92.8051,0.023060
92.8761,0.071012
92.9180,0.041917
92.9224,0.004436
92.9246,0.002219
92.9678,0.043206
92.9901,0.022301
93.0160,0.025826
93.0179,0.001881
93.0369,0.019056
93.0620,0.025042
93.1089,0.046980
93.1503,0.041397
93.1542,0.003866
93.1562,0.002039
93.1767,0.020509
93.1787,0.001939
93.1992,0.020510
93.2717,0.072553
93.3124,0.040621
93.3143,0.001941
93.3160,0.001674
93.3413,0.025297
93.3863,0.045022
93.4056,0.019328
93.4300,0.024404
93.4320,0.001973
93.4500,0.017961
93.4758,0.025843
93.4777,0.001899
93.4958,0.018085
93.5685,0.072754
93.6085,0.039920
93.6117,0.003279
93.6137,0.001905
93.6321,0.018472
93.6800,0.047922
93.6992,0.019187
93.7222,0.023000
93.7247,0.002512
93.7449,0.020159
93.7654,0.020531
93.7674,0.001965
93.7887,0.021317
93.8092,0.020505
93.8310,0.021737
93.8538,0.022865
93.8755,0.021726
93.8970,0.021441
93.9187,0.021693
93.9412,0.022529
93.9616,0.020374
93.9828,0.021249
94.0038,0.020943
94.0260,0.022188
94.0466,0.020585
94.0673,0.020800
94.0894,0.022057
94.1111,0.021721
94.1322,0.021061
94.1536,0.021369
94.1750,0.021477
94.1970,0.021935
94.2184,0.021387
94.2414,0.023019
94.2630,0.021604
94.2844,0.021401
94.3063,0.021932
94.3281,0.021821
94.3504,0.022262
94.3724,0.022006
94.3945,0.022131
94.4167,0.022159
94.4383,0.021564
94.4617,0.023412
94.4830,0.021287
94.5049,0.021986
94.5277,0.022778
94.5499,0.022214
94.5731,0.023146
94.5956,0.022482
94.6182,0.022620
94.6408,0.022655
94.6638,0.022945
94.6867,0.022886
94.7097,0.023006
94.7815,0.071846
94.8019,0.020332
94.8257,0.023823
94.8276,0.001906
94.8460,0.018461
94.8684,0.022321
94.8737,0.005305
94.8922,0.018558
94.9150,0.022771
94.9369,0.021864
94.9597,0.022800
94.9825,0.022871
95.0049,0.022326
95.0279,0.023061
95.0512,0.023326
95.0736,0.022376
95.0963,0.022669
95.1192,0.022898
95.1418,0.022575
95.1642,0.022476
95.1866,0.022356
95.2097,0.023095
95.2320,0.022319
95.2543,0.022322
95.2780,0.023624
95.3464,0.068456
95.3661,0.019653
95.3874,0.021322
95.3903,0.002920
95.3923,0.002041
95.4104,0.018058
95.4323,0.021858
95.4556,0.023358
95.4793,0.023720
95.5512,0.071810
95.5961,0.044992
95.6160,0.019834
95.6231,0.007115
95.6359,0.012845
95.6405,0.004563
95.6614,0.020918
95.6634,0.001995
95.6835,0.020112
95.7073,0.023741
95.7298,0.022550
95.7535,0.023712
95.7773,0.023730
95.8467,0.069460
95.8926,0.045896
95.8960,0.003404
95.9120,0.015983
95.9388,0.026829
95.9410,0.002166
95.9588,0.017815
95.9849,0.026041
95.9869,0.002012
96.0087,0.021858
96.0773,0.068541
96.1250,0.047701
96.1274,0.002459
96.1441,0.016709
96.1467,0.002535
96.1482,0.001568
96.1671,0.018860
96.1923,0.025224
96.2138,0.021486
96.2379,0.024061
96.3083,0.070403
96.3537,0.045428
96.3574,0.003754
96.3760,0.018548
96.3786,0.002641
96.3945,0.015870
96.3967,0.002245
96.4219,0.025111
96.4883,0.066422
96.5330,0.044758
96.5570,0.023922
96.5799,0.022891
96.5820,0.002122
96.5947,0.012680
96.5968,0.002097
96.5983,0.001594
96.6167,0.018400
96.6423,0.025563
96.6821,0.039763
96.7043,0.022210
96.7264,0.022092
96.7475,0.021173
96.7494,0.001860
96.7671,0.017670
96.7920,0.024953
96.8576,0.065554
96.9006,0.043031
96.9231,0.022523
96.9253,0.002136
96.9431,0.017782
96.9451,0.002093
96.9468,0.001625
96.9625,0.015673
96.9833,0.020834
97.0073,0.024043
97.0281,0.020819
97.0500,0.021885
97.0723,0.022241
97.0940,0.021705
97.1157,0.021768
97.1383,0.022580
97.2071,0.068816
97.2267,0.019569
97.2477,0.021022
97.2512,0.003473
97.2535,0.002284
97.2737,0.020232
97.2923,0.018619
97.3150,0.022618
97.3394,0.024417
97.4094,0.069987
97.4547,0.045382
97.4581,0.003360
97.4768,0.018703
97.4787,0.001866
97.4967,0.018014
97.4988,0.002164
97.5235,0.024651
97.5455,0.022028
97.5674,0.021911
97.5899,0.022499
97.6345,0.044532
97.6576,0.023152
97.6815,0.023849
97.7045,0.023038
97.7068,0.002247
97.7270,0.020274
97.7499,0.022856
97.7721,0.022209
97.7946,0.022555
97.8170,0.022330
97.8396,0.022636
97.8624,0.022766
97.8851,0.022753
97.9076,0.022477
97.9300,0.022369
97.9533,0.023304
97.9749,0.021630
97.9972,0.022324
98.0198,0.022595
98.0425,0.022622
98.0648,0.022376
98.0868,0.021930
98.1091,0.022372
98.1314,0.022268
98.1534,0.022024
98.1763,0.022830
98.1986,0.022304
98.2213,0.022703
98.2469,0.025636
98.2651,0.018167
98.2888,0.023770
98.3119,0.023025
98.3341,0.022263
98.3566,0.022466
98.3788,0.022208
98.4013,0.022552
98.4242,0.022805
98.4473,0.023158
98.4700,0.022672
98.4932,0.023198
98.5168,0.023629
98.5387,0.021847
98.5619,0.023231
98.5844,0.022485
98.6114,0.027074
98.6343,0.022865
98.6537,0.019377
98.6772,0.023503
98.6989,0.021733
98.7219,0.022989
98.7447,0.022771
98.7673,0.022600
98.7901,0.022817
98.8130,0.022926
98.8363,0.023240
98.8587,0.022427
98.8855,0.026844
98.9080,0.022501
98.9310,0.022969
98.9517,0.020647
98.9731,0.021484
98.9960,0.022861
99.0179,0.021905
99.0404,0.022528
99.0637,0.023232
99.0862,0.022552
99.1093,0.023124
99.1317,0.022394
99.1542,0.022500
99.1762,0.022005
99.1988,0.022606
99.2210,0.022135
99.2431,0.022133
99.2656,0.022515
99.2874,0.021795
99.3097,0.022255
99.3313,0.021630
99.3533,0.021954
99.3749,0.021659
99.3970,0.022081
99.4184,0.021401
99.4399,0.021527
99.4619,0.022019
99.4844,0.022446
99.5048,0.020387
99.5266,0.021869
99.5475,0.020863
