Time (s),DeltaTime (s)
45.0337,0.005806
45.0485,0.014726
45.0585,0.010009
45.0620,0.003577
45.0649,0.002813
45.0666,0.001724
45.0690,0.002431
45.0731,0.004045
45.0792,0.006172
45.0853,0.006092
45.0943,0.008990
45.1113,0.017027
45.1138,0.002502
45.1191,0.005260
45.1263,0.007200
45.1282,0.001927
45.1327,0.004483
45.1440,0.011247
45.1471,0.003113
45.1529,0.005847
45.1608,0.007873
45.1666,0.005833
45.1754,0.008754
45.1798,0.004436
45.1865,0.006650
45.1928,0.006297
45.1997,0.006933
45.2069,0.007245
45.2125,0.005594
45.2186,0.006112
45.2256,0.006997
45.2316,0.005977
45.2403,0.008719
45.2449,0.004524
45.2511,0.006274
45.2594,0.008230
45.2649,0.005533
45.2723,0.007440
45.2779,0.005542
45.2839,0.006020
45.2922,0.008297
45.2981,0.005877
45.3054,0.007353
45.3113,0.005833
45.3176,0.006370
45.3250,0.007323
45.3310,0.006048
45.3382,0.007241
45.3448,0.006611
45.3506,0.005784
45.3585,0.007914
45.3643,0.005703
45.3716,0.007317
45.3771,0.005503
45.3836,0.006481
45.3914,0.007813
45.3973,0.005947
45.4029,0.005551
45.4094,0.006566
45.4156,0.006143
45.4233,0.007711
45.4286,0.005311
45.4350,0.006399
45.4422,0.007213
45.4486,0.006349
45.4554,0.006861
45.4614,0.005971
45.4676,0.006209
45.4755,0.007876
45.4815,0.006036
45.4890,0.007493
45.4943,0.005318
45.5008,0.006435
45.5088,0.008024
45.5146,0.005839
45.5225,0.007857
45.5280,0.005557
45.5339,0.005899
45.5422,0.008228
45.5481,0.005902
45.5550,0.006914
45.5605,0.005504
45.5673,0.006805
45.5750,0.007696
45.5805,0.005487
45.5878,0.007347
45.5933,0.005495
45.5996,0.006259
45.6074,0.007868
45.6125,0.005068
45.6197,0.007169
45.6257,0.005998
45.6323,0.006629
45.6396,0.007282
45.6459,0.006290
45.6515,0.005642
45.6588,0.007294
45.6651,0.006282
45.6724,0.007296
45.6782,0.005798
45.6844,0.006244
45.6920,0.007622
45.6986,0.006531
45.7055,0.006902
45.7112,0.005765
45.7176,0.006364
45.7258,0.008170
45.7315,0.005711
45.7391,0.007632
45.7447,0.005555
45.7509,0.006241
45.7586,0.007719
45.7650,0.006331
45.7729,0.007935
45.7784,0.005504
45.7847,0.006300
45.7926,0.007872
45.7987,0.006126
45.8060,0.007343
45.8113,0.005264
45.8184,0.007066
45.8253,0.006894
45.8323,0.007065
45.8390,0.006696
45.8450,0.005948
45.8512,0.006184
45.8590,0.007828
45.8653,0.006289
45.8724,0.007122
45.8780,0.005574
45.8845,0.006499
45.8919,0.007469
45.8988,0.006840
45.9054,0.006617
45.9114,0.006017
45.9176,0.006168
45.9254,0.007800
45.9320,0.006580
45.9393,0.007287
45.9447,0.005420
45.9514,0.006677
45.9594,0.008041
45.9652,0.005815
45.9723,0.007056
45.9783,0.006050
45.9843,0.005972
45.9922,0.007876
45.9982,0.006075
46.0061,0.007843
46.0110,0.004890
46.0176,0.006623
46.0252,0.007574
46.0315,0.006300
46.0399,0.008424
46.0447,0.004787
46.0514,0.006691
46.0588,0.007381
46.0644,0.005678
46.0721,0.007634
46.0775,0.005453
46.0840,0.006517
46.0916,0.007571
46.0980,0.006356
46.1051,0.007160
46.1108,0.005644
46.1176,0.006791
46.1252,0.007665
46.1313,0.006100
46.1386,0.007232
46.1440,0.005401
46.1511,0.007171
46.1587,0.007604
46.1648,0.006037
46.1718,0.007026
46.1778,0.005999
46.1838,0.006048
46.1919,0.008062
46.1977,0.005789
46.2050,0.007279
46.2149,0.009924
46.2210,0.006071
46.2324,0.011437
46.2407,0.008292
46.2603,0.019611
46.2623,0.001963
46.2640,0.001693
46.2660,0.002057
46.2678,0.001773
46.2754,0.007629
46.2814,0.006012
46.2889,0.007457
46.2942,0.005271
46.3012,0.007007
46.3085,0.007377
46.3146,0.006051
46.3213,0.006749
46.3270,0.005695
46.3337,0.006631
46.3422,0.008508
46.3479,0.005749
46.3548,0.006865
46.3602,0.005412
46.3668,0.006614
46.3746,0.007805
46.3800,0.005345
46.3862,0.006213
46.3927,0.006493
46.3992,0.006525
46.4069,0.007666
46.4120,0.005157
46.4187,0.006640
46.4250,0.006329
46.4316,0.006585
46.4390,0.007406
46.4445,0.005495
46.4518,0.007292
46.4590,0.007226
46.4649,0.005899
46.4728,0.007865
46.4780,0.005205
46.4841,0.006100
46.4917,0.007615
46.4980,0.006350
46.5052,0.007161
46.5110,0.005861
46.5173,0.006298
46.5251,0.007778
46.5313,0.006169
46.5389,0.007584
46.5441,0.005260
46.5513,0.007163
46.5585,0.007243
46.5655,0.006971
46.5720,0.006533
46.5779,0.005881
46.5841,0.006121
46.5916,0.007552
46.5980,0.006406
46.6054,0.007398
46.6114,0.005973
46.6176,0.006179
46.6248,0.007240
46.6313,0.006472
46.6386,0.007339
46.6443,0.005731
46.6504,0.006099
46.6587,0.008241
46.6642,0.005520
46.6715,0.007309
46.6772,0.005707
46.6836,0.006404
46.6915,0.007856
46.6973,0.005858
46.7045,0.007194
46.7103,0.005742
46.7163,0.006047
46.7247,0.008377
46.7298,0.005121
46.7365,0.006711
46.7425,0.005940
46.7491,0.006604
46.7572,0.008132
46.7623,0.005136
46.7695,0.007121
46.7754,0.005960
46.7816,0.006218
46.7891,0.007441
46.7944,0.005339
46.8018,0.007341
46.8094,0.007657
46.8156,0.006173
46.8225,0.006908
46.8286,0.006150
46.8352,0.006570
46.8424,0.007225
46.8485,0.006025
46.8568,0.008332
46.8615,0.004744
46.8680,0.006463
46.8753,0.007349
46.8815,0.006116
46.8886,0.007169
46.8945,0.005902
46.9006,0.006044
46.9087,0.008147
46.9145,0.005790
46.9221,0.007612
46.9274,0.005259
46.9339,0.006501
46.9416,0.007672
46.9476,0.006086
46.9554,0.007716
46.9606,0.005204
46.9670,0.006479
46.9749,0.007840
46.9801,0.005228
46.9880,0.007934
46.9932,0.005121
46.9998,0.006614
47.0074,0.007593
47.0130,0.005609
47.0195,0.006506
47.0259,0.006444
47.0322,0.006242
47.0397,0.007553
47.0449,0.005207
47.0515,0.006570
