Time (s),DeltaTime (s)
84.4893,0.007160
84.4993,0.009988
84.5085,0.009200
84.5107,0.002146
84.5124,0.001691
84.5143,0.001971
84.5162,0.001856
84.5241,0.007917
84.5278,0.003659
84.5298,0.002007
84.5320,0.002254
84.5361,0.004101
84.5410,0.004881
84.5433,0.002305
84.5462,0.002933
84.5498,0.003551
84.5554,0.005588
84.5596,0.004167
84.5613,0.001775
84.5648,0.003437
84.5693,0.004514
84.5791,0.009792
84.5817,0.002640
84.5846,0.002924
84.5871,0.002454
84.5894,0.002314
84.5917,0.002263
84.5936,0.001908
84.5957,0.002165
84.5986,0.002866
84.6045,0.005921
84.6096,0.005125
84.6119,0.002211
84.6143,0.002460
84.6180,0.003668
84.6238,0.005813
84.6261,0.002290
84.6287,0.002644
84.6316,0.002885
84.6368,0.005215
84.6412,0.004397
84.6433,0.002027
84.6475,0.004202
84.6515,0.004060
84.6556,0.004091
84.6578,0.002239
84.6602,0.002306
84.6631,0.002912
84.6661,0.003040
84.6716,0.005482
84.6735,0.001951
84.6763,0.002752
84.6792,0.002896
84.6826,0.003427
84.6868,0.004154
84.6893,0.002549
84.6938,0.004522
84.6960,0.002172
84.6983,0.002251
84.7032,0.004983
84.7057,0.002450
84.7083,0.002590
84.7111,0.002833
84.7145,0.003346
84.7187,0.004225
84.7220,0.003345
84.7247,0.002655
84.7272,0.002504
84.7302,0.002958
84.7337,0.003519
84.7386,0.004926
84.7404,0.001811
84.7432,0.002835
84.7469,0.003614
84.7516,0.004742
84.7551,0.003486
84.7569,0.001781
84.7600,0.003167
84.7634,0.003415
84.7661,0.002669
84.7705,0.004423
84.7729,0.002369
84.7761,0.003157
84.7787,0.002631
84.7819,0.003178
84.7879,0.006059
84.7900,0.002021
84.7926,0.002657
84.7960,0.003418
84.7994,0.003381
84.8035,0.004092
84.8060,0.002541
84.8090,0.002911
84.8121,0.003130
84.8150,0.002915
84.8192,0.004203
84.8223,0.003135
84.8253,0.002951
84.8280,0.002722
84.8309,0.002929
84.8354,0.004428
84.8381,0.002689
84.8412,0.003178
84.8441,0.002877
84.8482,0.004048
84.8527,0.004493
84.8556,0.002962
84.8580,0.002411
84.8606,0.002615
84.8637,0.003089
84.8675,0.003779
84.8723,0.004787
84.8743,0.002003
84.8766,0.002351
84.8795,0.002855
84.8828,0.003338
84.8873,0.004508
84.8897,0.002384
84.8929,0.003176
84.8955,0.002634
84.8985,0.002911
84.9037,0.005225
84.9058,0.002131
84.9087,0.002864
84.9115,0.002871
84.9148,0.003300
84.9190,0.004145
84.9217,0.002711
84.9250,0.003258
84.9278,0.002835
84.9306,0.002777
84.9353,0.004775
84.9381,0.002778
84.9407,0.002552
84.9437,0.003061
84.9470,0.003235
84.9503,0.003351
84.9553,0.004962
84.9577,0.002427
84.9604,0.002663
84.9633,0.002969
84.9665,0.003197
84.9720,0.005467
84.9738,0.001838
84.9765,0.002625
84.9794,0.002897
84.9832,0.003872
84.9871,0.003812
84.9896,0.002530
84.9924,0.002835
84.9958,0.003357
84.9984,0.002601
85.0031,0.004700
85.0061,0.003069
85.0085,0.002386
85.0114,0.002865
85.0145,0.003109
85.0188,0.004259
85.0215,0.002767
85.0249,0.003383
85.0276,0.002671
85.0308,0.003260
85.0349,0.004010
85.0382,0.003387
85.0405,0.002282
85.0439,0.003415
85.0471,0.003118
85.0505,0.003407
85.0560,0.005564
85.0578,0.001791
85.0609,0.003135
85.0639,0.002954
85.0677,0.003820
85.0716,0.003847
85.0737,0.002076
85.0765,0.002849
85.0797,0.003206
85.0825,0.002816
85.0871,0.004599
85.0894,0.002287
85.0929,0.003506
85.0955,0.002595
85.0983,0.002834
85.1030,0.004670
85.1055,0.002493
85.1086,0.003077
85.1115,0.002881
85.1146,0.003179
