Time (s),DeltaTime (s)
85.4547,0.004728
85.4655,0.010797
85.4751,0.009566
85.4838,0.008697
85.4859,0.002055
85.4878,0.001906
85.4918,0.004000
85.4946,0.002820
85.4968,0.002192
85.4984,0.001663
85.5017,0.003301
85.5092,0.007469
85.5133,0.004105
85.5155,0.002240
85.5183,0.002740
85.5251,0.006822
85.5288,0.003739
85.5309,0.002082
85.5347,0.003813
85.5416,0.006817
85.5470,0.005429
85.5487,0.001676
85.5522,0.003576
85.5578,0.005531
85.5604,0.002661
85.5641,0.003712
85.5680,0.003865
85.5729,0.004884
85.5759,0.002994
85.5799,0.003998
85.5834,0.003535
85.5885,0.005050
85.5921,0.003605
85.5954,0.003338
85.5990,0.003561
85.6032,0.004239
85.6089,0.005726
85.6108,0.001866
85.6144,0.003628
85.6181,0.003712
85.6232,0.005091
85.6263,0.003064
85.6295,0.003222
85.6336,0.004075
85.6400,0.006386
85.6438,0.003802
85.6471,0.003312
85.6524,0.005278
85.6582,0.005789
85.6606,0.002415
85.6636,0.003043
85.6670,0.003353
85.6718,0.004809
85.6753,0.003470
85.6787,0.003493
85.6827,0.003908
85.6866,0.003940
85.6918,0.005162
85.6945,0.002711
85.6982,0.003749
85.7018,0.003545
85.7067,0.004925
85.7096,0.002933
85.7132,0.003565
85.7166,0.003373
85.7217,0.005190
85.7249,0.003118
85.7286,0.003728
85.7324,0.003814
85.7359,0.003460
85.7434,0.007487
85.7451,0.001753
85.7482,0.003099
85.7518,0.003575
85.7572,0.005397
85.7596,0.002401
85.7629,0.003324
85.7666,0.003650
85.7718,0.005285
85.7749,0.003111
85.7787,0.003730
85.7824,0.003708
85.7859,0.003550
85.7919,0.005928
85.7941,0.002204
85.7973,0.003230
85.8011,0.003783
85.8060,0.004921
85.8089,0.002945
85.8127,0.003721
85.8165,0.003788
85.8205,0.004021
85.8250,0.004510
85.8285,0.003564
85.8320,0.003472
85.8357,0.003669
85.8425,0.006797
85.8445,0.001980
85.8481,0.003652
85.8519,0.003751
85.8571,0.005217
85.8596,0.002494
85.8631,0.003473
85.8667,0.003592
85.8721,0.005411
85.8750,0.002981
85.8787,0.003675
85.8825,0.003783
85.8861,0.003616
85.8915,0.005425
85.8943,0.002747
85.8976,0.003284
85.9014,0.003791
85.9061,0.004725
85.9090,0.002929
85.9127,0.003649
85.9165,0.003823
85.9205,0.004031
85.9248,0.004324
85.9288,0.003922
85.9324,0.003613
85.9360,0.003666
85.9429,0.006844
85.9447,0.001789
85.9482,0.003538
85.9519,0.003663
85.9568,0.004921
85.9594,0.002633
85.9632,0.003755
85.9670,0.003794
85.9717,0.004712
85.9751,0.003400
85.9791,0.003970
85.9824,0.003390
85.9862,0.003776
85.9920,0.005788
85.9941,0.002124
85.9976,0.003484
86.0014,0.003771
86.0068,0.005365
86.0100,0.003244
86.0133,0.003281
86.0170,0.003735
86.0218,0.004758
86.0254,0.003657
86.0291,0.003624
