Time (s),DeltaTime (s)
191.4234,0.014606
191.4510,0.027677
191.4721,0.021024
191.4783,0.006246
191.4838,0.005457
191.4884,0.004664
191.4923,0.003836
191.5045,0.012214
191.5123,0.007836
191.5209,0.008565
191.5269,0.006007
191.5325,0.005573
191.5346,0.002159
191.5374,0.002755
191.5519,0.014480
191.5607,0.008865
191.5712,0.010432
191.5766,0.005470
191.5858,0.009156
191.5901,0.004269
191.5961,0.006033
191.6102,0.014120
191.6261,0.015901
191.6362,0.010031
191.6396,0.003415
191.6462,0.006593
191.6593,0.013149
191.6687,0.009353
191.6817,0.013017
191.6842,0.002558
191.6866,0.002331
191.6961,0.009566
191.7118,0.015704
191.7211,0.009239
191.7344,0.013304
191.7482,0.013787
191.7605,0.012303
191.7700,0.009559
191.7843,0.014291
191.7983,0.013987
191.8116,0.013267
191.8139,0.002323
191.8157,0.001831
191.8183,0.002622
191.8206,0.002293
191.8271,0.006504
191.8321,0.004918
191.8356,0.003512
191.8443,0.008716
191.8519,0.007568
191.8594,0.007527
191.8644,0.005054
191.8680,0.003516
191.8718,0.003804
191.8765,0.004766
191.8804,0.003880
191.8839,0.003508
191.8860,0.002097
191.8917,0.005658
191.8966,0.004972
191.8998,0.003132
191.9026,0.002781
191.9093,0.006738
191.9137,0.004443
191.9166,0.002861
191.9204,0.003841
191.9246,0.004123
191.9276,0.003055
191.9320,0.004405
191.9361,0.004044
191.9496,0.013528
191.9628,0.013196
191.9753,0.012467
191.9790,0.003698
191.9925,0.013592
192.0025,0.009940
192.0051,0.002664
192.0134,0.008243
192.0170,0.003560
192.0202,0.003255
192.0262,0.006035
192.0347,0.008472
192.0387,0.003988
192.0459,0.007160
192.0504,0.004568
192.0533,0.002868
192.0573,0.003992
192.0616,0.004341
192.0642,0.002609
192.0668,0.002594
192.0698,0.002984
192.0729,0.003061
192.0780,0.005165
192.0824,0.004326
192.0854,0.003022
192.0879,0.002509
192.0934,0.005458
192.1096,0.016301
192.1260,0.016316
192.1362,0.010249
192.1393,0.003079
192.1474,0.008137
192.1516,0.004121
192.1555,0.003960
192.1631,0.007634
192.1662,0.003096
192.1684,0.002148
192.1725,0.004090
192.1783,0.005790
192.1817,0.003394
192.1843,0.002655
192.1892,0.004860
192.1954,0.006173
192.1990,0.003644
192.2024,0.003428
192.2047,0.002278
192.2092,0.004482
192.2140,0.004763
192.2178,0.003880
192.2212,0.003334
192.2259,0.004763
192.2307,0.004774
192.2346,0.003849
192.2368,0.002290
192.2426,0.005792
192.2540,0.011393
192.2682,0.014223
192.2837,0.015416
192.2977,0.014064
192.3107,0.012985
192.3155,0.004821
192.3302,0.014713
192.3441,0.013852
192.3575,0.013392
192.3675,0.010021
192.3804,0.012890
192.3854,0.005032
192.3965,0.011012
192.4041,0.007689
192.4129,0.008756
192.4248,0.011868
192.4354,0.010623
192.4403,0.004920
192.4504,0.010124
192.4569,0.006510
192.4648,0.007906
