Time (s),DeltaTime (s)
120.1028,0.005630
120.1241,0.021338
120.1364,0.012219
120.1393,0.002921
120.1414,0.002106
120.1439,0.002515
120.1466,0.002665
120.1494,0.002884
120.1542,0.004734
120.1575,0.003297
120.1595,0.001989
120.1684,0.008970
120.1752,0.006796
120.1815,0.006325
120.1910,0.009484
120.1975,0.006468
120.2062,0.008665
120.2128,0.006640
120.2209,0.008115
120.2277,0.006824
120.2462,0.018489
120.2492,0.002966
120.2525,0.003253
120.2556,0.003106
120.2579,0.002358
120.2598,0.001932
120.2623,0.002472
120.2648,0.002439
120.2694,0.004626
120.2714,0.002021
120.2750,0.003579
120.2782,0.003213
120.2850,0.006812
120.2887,0.003726
120.2908,0.002046
120.2940,0.003178
120.2975,0.003549
120.3020,0.004457
120.3059,0.003935
120.3084,0.002508
120.3115,0.003046
120.3158,0.004307
120.3196,0.003824
120.3234,0.003774
120.3274,0.004008
120.3301,0.002754
120.3348,0.004700
120.3373,0.002430
120.3407,0.003396
120.3444,0.003760
120.3475,0.003038
120.3522,0.004770
120.3548,0.002573
120.3582,0.003375
120.3614,0.003224
120.3663,0.004942
120.3692,0.002818
120.3725,0.003359
120.3761,0.003617
120.3793,0.003172
120.3840,0.004744
120.3873,0.003286
120.3905,0.003168
120.3943,0.003784
120.3981,0.003823
120.4019,0.003794
120.4047,0.002835
120.4080,0.003264
120.4112,0.003203
120.4157,0.004484
120.4194,0.003684
120.4222,0.002837
120.4257,0.003494
120.4288,0.003139
120.4338,0.004946
120.4367,0.002927
120.4398,0.003088
120.4430,0.003233
120.4467,0.003671
120.4518,0.005094
120.4541,0.002279
120.4574,0.003359
120.4606,0.003154
120.4640,0.003387
120.4698,0.005803
120.4715,0.001670
120.4747,0.003252
120.4780,0.003252
120.4830,0.005046
120.4862,0.003196
120.4901,0.003894
120.4934,0.003307
120.4974,0.003977
120.5024,0.005025
120.5049,0.002545
120.5079,0.002951
120.5111,0.003213
120.5163,0.005245
120.5193,0.002952
120.5221,0.002846
120.5254,0.003282
120.5290,0.003519
120.5337,0.004763
120.5366,0.002886
120.5401,0.003452
120.5433,0.003218
120.5468,0.003505
120.5516,0.004810
120.5542,0.002588
120.5574,0.003196
120.5610,0.003598
120.5649,0.003975
120.5693,0.004363
120.5717,0.002401
120.5751,0.003411
120.5785,0.003372
120.5829,0.004374
120.5862,0.003327
120.5899,0.003680
120.5930,0.003149
120.5964,0.003392
120.6011,0.004683
120.6036,0.002460
120.6071,0.003517
120.6102,0.003128
120.6142,0.004002
120.6197,0.005475
120.6214,0.001709
120.6246,0.003249
120.6279,0.003298
120.6327,0.004782
120.6358,0.003135
120.6395,0.003629
120.6430,0.003486
120.6462,0.003253
120.6509,0.004698
120.6539,0.002941
120.6569,0.003080
120.6602,0.003273
120.6635,0.003281
120.6688,0.005343
120.6714,0.002572
120.6746,0.003174
120.6778,0.003253
120.6826,0.004817
120.6859,0.003204
120.6892,0.003392
120.6927,0.003443
120.6958,0.003097
120.7004,0.004579
120.7036,0.003187
120.7067,0.003149
120.7100,0.003290
120.7132,0.003253
120.7185,0.005218
120.7208,0.002298
120.7241,0.003337
120.7273,0.003183
120.7313,0.003976
120.7361,0.004872
120.7382,0.002038
120.7415,0.003326
120.7448,0.003253
120.7494,0.004692
120.7528,0.003342
120.7560,0.003170
120.7592,0.003276
120.7628,0.003541
120.7679,0.005097
120.7703,0.002388
120.7736,0.003386
120.7769,0.003228
120.7804,0.003561
120.7854,0.004982
120.7880,0.002554
120.7917,0.003761
120.7949,0.003154
120.7996,0.004747
120.8027,0.003063
120.8061,0.003444
120.8096,0.003443
120.8130,0.003378
120.8177,0.004787
120.8204,0.002628
120.8233,0.002979
120.8268,0.003422
120.8301,0.003345
120.8356,0.005440
120.8378,0.002249
120.8410,0.003181
120.8444,0.003390
120.8488,0.004434
120.8523,0.003497
120.8554,0.003085
120.8591,0.003676
120.8622,0.003148
120.8667,0.004491
120.8698,0.003079
120.8732,0.003410
120.8763,0.003112
120.8795,0.003230
120.8847,0.005142
120.8871,0.002415
120.8906,0.003482
120.8941,0.003508
120.8976,0.003502
120.9026,0.005027
120.9049,0.002279
120.9081,0.003243
120.9113,0.003133
120.9157,0.004481
120.9192,0.003485
120.9224,0.003159
120.9258,0.003386
120.9293,0.003490
120.9344,0.005174
120.9372,0.002779
120.9406,0.003386
120.9439,0.003305
120.9473,0.003409
120.9542,0.006905
120.9565,0.002296
120.9592,0.002693
120.9628,0.003535
120.9694,0.006629
120.9717,0.002290
120.9743,0.002620
120.9773,0.003041
120.9809,0.003620
120.9860,0.005077
120.9881,0.002036
120.9917,0.003594
120.9950,0.003352
120.9994,0.004424
121.0029,0.003477
121.0060,0.003133
121.0095,0.003412
121.0133,0.003834
121.0181,0.004794
121.0204,0.002286
121.0238,0.003390
121.0271,0.003296
121.0304,0.003360
121.0364,0.006026
121.0382,0.001711
121.0413,0.003138
121.0446,0.003321
121.0493,0.004684
121.0523,0.003043
121.0558,0.003423
121.0592,0.003409
121.0624,0.003188
121.0669,0.004545
121.0699,0.003037
121.0735,0.003522
121.0776,0.004118
121.0808,0.003254
121.0861,0.005280
121.0882,0.002052
121.0915,0.003349
121.0951,0.003583
121.0994,0.004294
121.1036,0.004200
121.1147,0.011112
121.1231,0.008347
121.1297,0.006646
121.1353,0.005553
121.1405,0.005244
121.1435,0.003021
121.1461,0.002567
121.1491,0.003024
121.1537,0.004623
121.1564,0.002637
121.1583,0.001921
121.1608,0.002531
121.1645,0.003669
121.1686,0.004113
121.1722,0.003583
121.1752,0.003043
121.1786,0.003398
121.1858,0.007153
121.1897,0.003912
121.1926,0.002908
121.1966,0.003961
121.2012,0.004639
121.2070,0.005796
121.2106,0.003599
121.2152,0.004568
121.2209,0.005698
121.2239,0.002994
121.2270,0.003120
121.2322,0.005187
121.2373,0.005128
121.2415,0.004211
121.2453,0.003841
121.2482,0.002829
121.2530,0.004847
121.2560,0.003008
121.2584,0.002419
121.2611,0.002659
121.2665,0.005371
121.2702,0.003761
121.2732,0.002928
121.2769,0.003732
121.2801,0.003226
121.2865,0.006428
121.2890,0.002493
121.2917,0.002671
121.2956,0.003930
121.3014,0.005769
121.3043,0.002847
121.3085,0.004202
121.3127,0.004290
121.3165,0.003743
121.3212,0.004713
121.3237,0.002509
121.3270,0.003316
121.3306,0.003609
121.3370,0.006324
121.3390,0.002006
121.3422,0.003224
121.3457,0.003485
121.3513,0.005636
121.3537,0.002365
121.3574,0.003759
121.3608,0.003344
121.3658,0.005055
121.3709,0.005068
121.3733,0.002400
121.3769,0.003570
121.3802,0.003284
121.3859,0.005706
121.3883,0.002472
121.3916,0.003221
121.3956,0.004080
121.4015,0.005870
121.4040,0.002452
121.4075,0.003522
121.4109,0.003421
121.4162,0.005344
121.4204,0.004149
121.4232,0.002777
121.4279,0.004773
121.4312,0.003225
121.4363,0.005171
121.4388,0.002506
121.4420,0.003197
121.4455,0.003421
121.4508,0.005310
121.4535,0.002742
121.4571,0.003539
121.4606,0.003580
121.4641,0.003488
121.4696,0.005515
121.4725,0.002903
121.4760,0.003491
121.4794,0.003418
121.4852,0.005731
121.4878,0.002648
121.4912,0.003409
121.4960,0.004747
121.5007,0.004703
121.5038,0.003127
121.5073,0.003449
121.5105,0.003282
121.5142,0.003612
121.5204,0.006264
121.5223,0.001913
121.5256,0.003271
121.5290,0.003426
121.5349,0.005825
121.5372,0.002319
121.5405,0.003365
121.5447,0.004200
121.5494,0.004682
121.5543,0.004877
121.5568,0.002505
121.5599,0.003127
121.5635,0.003586
121.5695,0.006014
121.5714,0.001874
121.5749,0.003534
121.5783,0.003316
