Time (s),DeltaTime (s)
157.7437,0.004929
157.7542,0.010486
157.7621,0.007926
157.7648,0.002626
157.7678,0.003057
157.7722,0.004383
157.7752,0.002952
157.7770,0.001868
157.7788,0.001819
157.7807,0.001876
157.7868,0.006041
157.7915,0.004752
157.7933,0.001750
157.7972,0.003968
157.8027,0.005501
157.8081,0.005367
157.8098,0.001663
157.8134,0.003645
157.8187,0.005274
157.8217,0.003037
157.8256,0.003837
157.8298,0.004290
157.8421,0.012252
157.8449,0.002791
157.8466,0.001686
157.8509,0.004341
157.8554,0.004474
157.8578,0.002465
157.8599,0.002080
157.8645,0.004569
157.8703,0.005752
157.8761,0.005888
157.8786,0.002443
157.8810,0.002393
157.8858,0.004777
157.8922,0.006473
157.8944,0.002141
157.8967,0.002281
157.8999,0.003245
157.9082,0.008329
157.9102,0.002020
157.9134,0.003182
157.9163,0.002856
157.9219,0.005654
157.9238,0.001884
157.9274,0.003599
157.9304,0.003001
157.9360,0.005570
157.9478,0.011819
157.9588,0.010999
157.9664,0.007624
157.9723,0.005822
157.9755,0.003229
157.9776,0.002130
157.9795,0.001897
157.9815,0.001949
157.9844,0.002922
157.9890,0.004613
157.9919,0.002893
157.9940,0.002157
157.9971,0.003081
158.0020,0.004896
158.0081,0.006064
158.0099,0.001790
158.0133,0.003394
158.0177,0.004408
158.0248,0.007087
158.0265,0.001765
158.0294,0.002870
158.0328,0.003372
158.0386,0.005860
158.0406,0.001938
158.0440,0.003398
158.0473,0.003367
158.0520,0.004658
158.0552,0.003182
158.0591,0.003959
158.0624,0.003249
158.0661,0.003706
158.0704,0.004296
158.0732,0.002852
158.0763,0.003106
158.0797,0.003370
158.0840,0.004257
158.0882,0.004221
158.0908,0.002593
158.0942,0.003404
158.0975,0.003334
158.1018,0.004272
158.1052,0.003376
158.1084,0.003258
158.1124,0.003947
158.1155,0.003093
158.1202,0.004688
158.1225,0.002344
158.1263,0.003780
158.1294,0.003156
158.1329,0.003475
158.1378,0.004849
158.1401,0.002347
158.1436,0.003522
158.1472,0.003609
158.1523,0.005058
158.1551,0.002804
158.1590,0.003860
158.1619,0.002905
158.1652,0.003350
158.1698,0.004578
158.1724,0.002615
158.1759,0.003530
158.1791,0.003198
158.1825,0.003324
158.1875,0.004987
158.1902,0.002731
158.1933,0.003132
158.1966,0.003305
158.2013,0.004637
158.2048,0.003569
158.2080,0.003186
158.2114,0.003430
158.2147,0.003270
158.2195,0.004780
158.2226,0.003080
158.2264,0.003794
158.2387,0.012332
158.2483,0.009608
158.2595,0.011235
158.2708,0.011280
158.2805,0.009710
158.2909,0.010379
158.2935,0.002552
158.3047,0.011258
158.3131,0.008372
158.3156,0.002453
158.3183,0.002749
158.3225,0.004227
158.3248,0.002293
158.3269,0.002065
158.3288,0.001890
158.3304,0.001666
158.3359,0.005489
158.3483,0.012376
158.3605,0.012168
158.3721,0.011592
158.3804,0.008324
158.3910,0.010575
158.3991,0.008099
158.4019,0.002822
158.4134,0.011478
158.4240,0.010602
158.4319,0.007981
158.4436,0.011631
158.4588,0.015202
158.4647,0.005887
158.4805,0.015813
158.4896,0.009141
158.4969,0.007295
158.5066,0.009731
158.5365,0.029854
158.5463,0.009844
158.5487,0.002386
158.5523,0.003577
158.5553,0.002971
158.5582,0.002934
158.5607,0.002462
158.5631,0.002406
158.5652,0.002108
158.5684,0.003212
158.5751,0.006735
158.5769,0.001763
158.5800,0.003122
158.5834,0.003420
158.5913,0.007906
158.5931,0.001804
158.5964,0.003228
158.5997,0.003280
158.6074,0.007701
158.6092,0.001841
158.6123,0.003123
158.6156,0.003334
158.6226,0.006905
158.6374,0.014829
158.6514,0.014060
158.6606,0.009171
158.6691,0.008473
158.6755,0.006432
158.6799,0.004398
158.6839,0.003992
158.6891,0.005162
158.6928,0.003754
158.6963,0.003509
158.6987,0.002388
158.7027,0.003925
158.7055,0.002825
158.7076,0.002158
158.7097,0.002053
158.7117,0.002039
158.7134,0.001654
158.7171,0.003684
158.7220,0.004943
158.7242,0.002140
158.7295,0.005398
158.7316,0.002102
158.7370,0.005380
158.7486,0.011532
158.7600,0.011423
158.7715,0.011480
158.7736,0.002164
158.7762,0.002588
158.7784,0.002239
158.7818,0.003400
158.7848,0.002953
158.7915,0.006724
158.7948,0.003308
158.7967,0.001845
