Time (s),DeltaTime (s)
135.3954,0.005868
135.4054,0.009961
135.4145,0.009147
135.4169,0.002342
135.4188,0.001956
135.4213,0.002458
135.4230,0.001770
135.4259,0.002861
135.4308,0.004927
135.4397,0.008864
135.4467,0.006964
135.4514,0.004693
135.4570,0.005657
135.4624,0.005351
135.4674,0.004998
135.4709,0.003537
135.4744,0.003493
135.4803,0.005932
135.4829,0.002618
135.4846,0.001670
135.4877,0.003104
135.4926,0.004917
135.4980,0.005356
135.4998,0.001805
135.5034,0.003592
135.5066,0.003188
135.5125,0.005917
135.5168,0.004308
135.5185,0.001700
135.5216,0.003082
135.5263,0.004705
135.5298,0.003494
135.5327,0.002928
135.5359,0.003178
135.5391,0.003233
135.5460,0.006860
135.5481,0.002151
135.5503,0.002169
135.5538,0.003514
135.5582,0.004340
135.5621,0.003935
135.5648,0.002732
135.5683,0.003462
135.5714,0.003111
135.5759,0.004521
135.5800,0.004069
135.5833,0.003330
135.5856,0.002286
135.5892,0.003585
135.5970,0.007816
135.5995,0.002463
135.6012,0.001772
135.6045,0.003226
135.6092,0.004738
135.6120,0.002806
135.6154,0.003398
135.6189,0.003553
135.6223,0.003325
135.6269,0.004606
135.6298,0.002944
135.6331,0.003250
135.6366,0.003558
135.6402,0.003525
135.6457,0.005542
135.6478,0.002055
135.6517,0.003959
135.6546,0.002939
135.6590,0.004354
135.6624,0.003429
135.6656,0.003168
135.6690,0.003356
135.6782,0.009274
135.6839,0.005709
135.6908,0.006828
135.6985,0.007695
135.7056,0.007152
135.7144,0.008755
135.7346,0.020216
135.7376,0.003023
135.7399,0.002312
135.7431,0.003178
135.7486,0.005507
135.7519,0.003251
135.7545,0.002681
135.7570,0.002476
135.7616,0.004554
135.7639,0.002329
135.7661,0.002197
135.7681,0.002025
135.7698,0.001714
135.7730,0.003189
135.7783,0.005293
135.7802,0.001920
135.7837,0.003456
135.7869,0.003169
135.7902,0.003317
135.7963,0.006086
135.7980,0.001705
135.8011,0.003117
135.8045,0.003433
135.8095,0.005008
135.8127,0.003147
135.8159,0.003186
135.8192,0.003318
135.8227,0.003529
135.8272,0.004530
135.8300,0.002807
135.8336,0.003545
135.8367,0.003154
135.8401,0.003351
135.8464,0.006311
135.8482,0.001756
135.8514,0.003268
135.8548,0.003367
135.8595,0.004691
135.8624,0.002933
135.8657,0.003324
135.8690,0.003292
135.8727,0.003650
135.8772,0.004476
135.8798,0.002641
135.8833,0.003459
135.8864,0.003168
135.8900,0.003531
135.8949,0.004989
135.8974,0.002462
135.9006,0.003197
135.9040,0.003384
135.9087,0.004737
135.9118,0.003129
135.9150,0.003173
135.9185,0.003469
135.9218,0.003331
135.9264,0.004555
135.9295,0.003070
135.9327,0.003211
135.9360,0.003344
135.9395,0.003501
135.9444,0.004876
135.9473,0.002945
135.9506,0.003246
135.9538,0.003173
135.9571,0.003339
135.9622,0.005149
135.9650,0.002708
135.9683,0.003357
135.9716,0.003298
135.9763,0.004751
135.9791,0.002791
135.9826,0.003451
135.9859,0.003287
135.9893,0.003462
135.9940,0.004613
135.9966,0.002639
136.0000,0.003438
136.0033,0.003248
136.0066,0.003317
136.0123,0.005740
136.0141,0.001792
136.0174,0.003263
136.0207,0.003284
136.0256,0.004888
136.0287,0.003185
136.0320,0.003244
136.0353,0.003269
136.0384,0.003154
136.0435,0.005053
136.0472,0.003712
136.0496,0.002434
136.0536,0.003967
136.0573,0.003669
136.0612,0.003931
136.0638,0.002603
136.0672,0.003367
136.0703,0.003120
136.0738,0.003571
136.0793,0.005440
136.0813,0.002015
136.0846,0.003331
136.0880,0.003368
136.0933,0.005351
136.0958,0.002492
136.0991,0.003286
136.1024,0.003279
136.1059,0.003476
136.1106,0.004691
136.1132,0.002630
136.1165,0.003316
136.1196,0.003116
136.1231,0.003440
136.1281,0.005026
136.1306,0.002474
136.1339,0.003309
136.1372,0.003336
136.1421,0.004906
136.1453,0.003173
136.1488,0.003476
136.1522,0.003410
136.1552,0.003039
136.1596,0.004378
136.1628,0.003225
136.1659,0.003116
136.1692,0.003300
136.1726,0.003357
136.1774,0.004799
136.1800,0.002568
136.1834,0.003398
136.1867,0.003315
136.1902,0.003546
136.1957,0.005453
136.1976,0.001897
136.2013,0.003694
136.2049,0.003639
136.2096,0.004687
136.2127,0.003151
136.2160,0.003312
136.2192,0.003117
136.2224,0.003277
136.2277,0.005246
136.2298,0.002148
136.2332,0.003334
136.2365,0.003281
136.2401,0.003590
136.2447,0.004605
136.2476,0.002974
136.2514,0.003763
136.2546,0.003252
136.2589,0.004278
136.2625,0.003528
136.2655,0.003053
136.2687,0.003203
136.2722,0.003510
136.2772,0.004998
136.2797,0.002453
136.2829,0.003234
136.2861,0.003250
136.2896,0.003498
136.2946,0.004974
136.2971,0.002509
136.3005,0.003383
136.3038,0.003252
136.3074,0.003586
136.3125,0.005103
136.3148,0.002392
136.3180,0.003137
136.3213,0.003325
136.3262,0.004870
136.3290,0.002818
136.3322,0.003250
136.3356,0.003353
136.3391,0.003503
136.3436,0.004492
136.3465,0.002872
136.3503,0.003872
136.3534,0.003039
136.3567,0.003363
136.3616,0.004867
136.3641,0.002501
136.3673,0.003208
136.3708,0.003508
136.3756,0.004738
136.3786,0.003011
136.3817,0.003144
136.3852,0.003492
136.3884,0.003226
136.3933,0.004889
136.3963,0.002932
136.3994,0.003170
136.4031,0.003697
136.4064,0.003324
136.4111,0.004623
136.4137,0.002605
136.4173,0.003586
136.4203,0.003078
136.4241,0.003804
136.4289,0.004792
136.4313,0.002348
136.4348,0.003498
136.4380,0.003194
136.4427,0.004721
136.4503,0.007599
136.4549,0.004652
136.4580,0.003051
136.4628,0.004850
136.4662,0.003392
136.4686,0.002390
136.4717,0.003069
136.4766,0.004925
136.4797,0.003030
136.4830,0.003370
136.4863,0.003270
136.4900,0.003664
136.4948,0.004798
136.4977,0.002932
136.5011,0.003399
136.5042,0.003147
136.5088,0.004530
136.5123,0.003527
136.5154,0.003072
136.5186,0.003191
136.5220,0.003399
136.5274,0.005407
136.5299,0.002563
136.5336,0.003730
136.5378,0.004181
136.5430,0.005218
136.5472,0.004132
136.5496,0.002453
136.5531,0.003418
136.5561,0.003048
136.5611,0.004980
136.5633,0.002240
136.5665,0.003137
136.5697,0.003293
136.5734,0.003636
136.5777,0.004346
136.5806,0.002835
136.5841,0.003511
136.5873,0.003207
136.5920,0.004719
136.5953,0.003294
136.5984,0.003097
136.6017,0.003331
136.6055,0.003775
136.6103,0.004825
136.6128,0.002444
136.6161,0.003382
136.6195,0.003377
136.6227,0.003193
136.6277,0.004981
136.6301,0.002356
136.6334,0.003340
136.6368,0.003389
136.6413,0.004490
136.6453,0.004005
136.6481,0.002809
136.6517,0.003638
136.6550,0.003309
136.6594,0.004325
136.6625,0.003138
136.6658,0.003282
136.6690,0.003246
136.6727,0.003629
136.6772,0.004494
136.6798,0.002630
136.6833,0.003470
136.6865,0.003209
136.6898,0.003345
136.6956,0.005806
136.6973,0.001715
136.7004,0.003106
136.7038,0.003314
136.7086,0.004816
136.7119,0.003355
136.7150,0.003065
136.7184,0.003362
136.7216,0.003205
136.7261,0.004509
136.7293,0.003278
136.7323,0.003007
136.7357,0.003346
136.7390,0.003323
136.7443,0.005258
136.7466,0.002274
136.7497,0.003166
136.7535,0.003786
136.7571,0.003608
136.7621,0.005005
136.7642,0.002071
136.7675,0.003309
136.7706,0.003147
136.7754,0.004795
136.7788,0.003327
136.7819,0.003179
136.7852,0.003221
136.7885,0.003381
136.7937,0.005208
136.7961,0.002391
136.7995,0.003392
136.8028,0.003273
136.8066,0.003787
136.8108,0.004229
136.8137,0.002907
136.8170,0.003317
136.8203,0.003203
136.8252,0.004949
136.8295,0.004337
136.8316,0.002058
136.8348,0.003222
136.8382,0.003358
136.8428,0.004647
136.8457,0.002917
136.8490,0.003247
136.8526,0.003601
136.8568,0.004209
136.8609,0.004112
136.8638,0.002934
136.8674,0.003517
136.8705,0.003161
136.8751,0.004591
136.8785,0.003421
136.8818,0.003237
136.8853,0.003532
136.8886,0.003331
136.8933,0.004704
136.8961,0.002730
136.8998,0.003700
136.9032,0.003447
136.9065,0.003300
136.9122,0.005730
136.9141,0.001836
136.9173,0.003237
136.9206,0.003262
136.9256,0.005017
136.9284,0.002828
136.9317,0.003299
136.9351,0.003356
136.9387,0.003583
136.9431,0.004485
136.9462,0.003019
136.9499,0.003765
136.9532,0.003223
136.9575,0.004326
136.9623,0.004840
136.9652,0.002858
136.9679,0.002693
136.9711,0.003184
136.9758,0.004777
136.9788,0.003008
136.9822,0.003356
136.9855,0.003315
136.9889,0.003437
136.9938,0.004839
136.9962,0.002415
136.9996,0.003439
137.0028,0.003199
137.0062,0.003333
137.0116,0.005462
137.0139,0.002263
137.0170,0.003128
137.0203,0.003270
137.0251,0.004826
137.0284,0.003246
137.0314,0.003052
137.0348,0.003393
137.0380,0.003225
137.0425,0.004457
137.0457,0.003227
137.0491,0.003420
137.0524,0.003224
137.0574,0.005075
137.0613,0.003907
137.0637,0.002336
137.0670,0.003322
137.0701,0.003117
137.0739,0.003743
137.0787,0.004849
137.0811,0.002429
137.0844,0.003250
137.0878,0.003421
137.0925,0.004652
137.0955,0.003017
137.0988,0.003321
137.1024,0.003561
137.1056,0.003258
137.1102,0.004548
137.1128,0.002668
137.1163,0.003493
137.1195,0.003215
137.1231,0.003565
137.1280,0.004848
137.1304,0.002491
137.1340,0.003563
137.1372,0.003152
137.1419,0.004773
137.1450,0.003028
137.1483,0.003344
137.1519,0.003602
137.1553,0.003363
137.1601,0.004823
137.1629,0.002805
137.1661,0.003206
137.1693,0.003239
137.1727,0.003325
137.1776,0.004884
137.1802,0.002659
137.1834,0.003171
137.1867,0.003284
137.1906,0.003896
137.1951,0.004505
137.1976,0.002581
137.2010,0.003337
137.2042,0.003231
137.2086,0.004336
137.2125,0.003930
137.2157,0.003179
137.2191,0.003443
137.2225,0.003383
137.2275,0.005032
137.2299,0.002418
137.2332,0.003291
137.2364,0.003150
137.2398,0.003422
137.2454,0.005572
137.2474,0.002056
137.2506,0.003172
137.2541,0.003502
137.2592,0.005053
137.2623,0.003091
137.2652,0.002948
137.2684,0.003200
137.2719,0.003469
137.2767,0.004865
137.2794,0.002640
137.2828,0.003444
137.2860,0.003172
137.2894,0.003397
137.2943,0.004964
137.2969,0.002543
137.3001,0.003167
137.3035,0.003484
137.3080,0.004433
137.3116,0.003677
137.3147,0.003032
137.3180,0.003326
137.3213,0.003271
137.3259,0.004603
137.3291,0.003194
137.3322,0.003130
137.3355,0.003298
137.3588,0.023306
137.3675,0.008722
137.3746,0.007115
137.3816,0.006978
137.3884,0.006778
137.3960,0.007572
137.4026,0.006600
137.4090,0.006455
137.4161,0.007096
137.4225,0.006411
137.4297,0.007188
137.4369,0.007152
137.4446,0.007768
137.4555,0.010826
137.4647,0.009229
137.4715,0.006820
137.4791,0.007610
137.4852,0.006066
137.4916,0.006415
137.4994,0.007796
137.5058,0.006348
137.5136,0.007877
137.5204,0.006730
137.5276,0.007197
137.5338,0.006287
137.5401,0.006201
137.5474,0.007355
137.5541,0.006704
137.5614,0.007247
137.5677,0.006379
137.5743,0.006578
137.5817,0.007372
137.5885,0.006784
137.5960,0.007556
137.6022,0.006170
137.6089,0.006729
137.6155,0.006613
137.6222,0.006671
137.6301,0.007873
137.6365,0.006449
137.6435,0.007018
137.6516,0.008018
137.6588,0.007274
137.6665,0.007680
137.6736,0.007064
137.6818,0.008187
137.6885,0.006702
137.6965,0.008066
137.7029,0.006333
137.7296,0.026721
137.7324,0.002785
137.7344,0.001999
137.7366,0.002244
137.7383,0.001723
137.7418,0.003489
137.7447,0.002893
137.7467,0.001936
137.7486,0.001984
137.7519,0.003224
137.7556,0.003700
137.7608,0.005248
137.7632,0.002408
137.7665,0.003279
137.7696,0.003130
137.7733,0.003679
137.7784,0.005066
137.7808,0.002465
137.7843,0.003453
137.7875,0.003184
137.7924,0.004926
137.7954,0.002975
137.7985,0.003121
137.8019,0.003409
137.8072,0.005331
137.8115,0.004230
137.8137,0.002209
137.8172,0.003470
137.8204,0.003264
137.8251,0.004671
137.8289,0.003866
137.8313,0.002315
137.8346,0.003328
137.8381,0.003542
137.8439,0.005786
137.8459,0.001963
137.8493,0.003401
137.8527,0.003388
137.8564,0.003699
137.8614,0.005065
137.8634,0.001922
137.8670,0.003652
137.8703,0.003237
137.8740,0.003760
137.8791,0.005088
137.8808,0.001730
137.8844,0.003610
137.8876,0.003218
137.8923,0.004613
137.8951,0.002858
137.8985,0.003345
137.9017,0.003265
137.9060,0.004279
137.9101,0.004088
137.9129,0.002822
137.9165,0.003528
137.9196,0.003194
137.9231,0.003486
137.9288,0.005675
137.9306,0.001793
137.9338,0.003190
137.9371,0.003280
137.9420,0.004879
137.9450,0.003037
137.9482,0.003242
137.9517,0.003452
137.9549,0.003246
137.9595,0.004568
137.9626,0.003074
137.9657,0.003172
137.9690,0.003290
137.9723,0.003296
137.9773,0.004987
137.9797,0.002403
137.9830,0.003254
137.9863,0.003338
137.9899,0.003537
137.9952,0.005354
137.9971,0.001902
138.0005,0.003412
138.0041,0.003618
138.0087,0.004602
138.0121,0.003407
138.0152,0.003058
138.0185,0.003260
138.0218,0.003334
138.0273,0.005551
138.0294,0.002038
138.0326,0.003254
138.0359,0.003236
138.0397,0.003845
138.0445,0.004817
138.0473,0.002716
138.0504,0.003170
138.0536,0.003179
138.0580,0.004351
138.0617,0.003777
138.0647,0.002990
138.0680,0.003256
138.0715,0.003518
138.0764,0.004930
138.0790,0.002571
138.0823,0.003302
138.0857,0.003435
138.0898,0.004042
138.0946,0.004806
138.0970,0.002464
138.1004,0.003412
138.1039,0.003436
138.1088,0.004937
138.1122,0.003363
138.1153,0.003094
138.1187,0.003417
138.1219,0.003243
138.1268,0.004848
138.1292,0.002428
