Time (s),DeltaTime (s)
174.0757,0.006118
174.0881,0.012389
174.0983,0.010197
174.1004,0.002111
174.1021,0.001687
174.1036,0.001580
174.1071,0.003452
174.1125,0.005365
174.1153,0.002864
174.1173,0.001955
174.1213,0.004065
174.1278,0.006462
174.1316,0.003753
174.1348,0.003294
174.1390,0.004131
174.1453,0.006314
174.1498,0.004495
174.1519,0.002124
174.1559,0.003999
174.1611,0.005237
174.1638,0.002617
174.1676,0.003809
174.1715,0.003939
174.1764,0.004929
174.1795,0.003034
174.1842,0.004762
174.1874,0.003175
174.1931,0.005693
174.1960,0.002893
174.2003,0.004252
174.2038,0.003546
174.2169,0.013083
174.2200,0.003104
174.2222,0.002204
174.2258,0.003576
174.2300,0.004241
174.2324,0.002405
174.2344,0.001993
174.2381,0.003686
174.2463,0.008172
174.2574,0.011185
174.2717,0.014277
174.2840,0.012290
174.2960,0.012020
174.3039,0.007829
174.3066,0.002730
174.3098,0.003249
174.3144,0.004514
174.3168,0.002446
174.3184,0.001619
174.3205,0.002125
174.3225,0.001995
174.3290,0.006466
174.3338,0.004798
174.3380,0.004220
174.3405,0.002445
174.3481,0.007631
174.3594,0.011307
174.3716,0.012157
174.3825,0.010927
174.3850,0.002533
174.3868,0.001818
174.3894,0.002599
174.3963,0.006896
174.3997,0.003345
174.4031,0.003453
174.4053,0.002164
174.4077,0.002351
174.4120,0.004350
174.4151,0.003088
174.4172,0.002104
174.4190,0.001781
174.4219,0.002958
174.4282,0.006234
174.4333,0.005164
174.4353,0.002011
174.4379,0.002562
174.4431,0.005240
174.4541,0.011011
174.4652,0.011013
174.4746,0.009418
174.4848,0.010242
174.4869,0.002071
174.4885,0.001624
174.4903,0.001804
174.4955,0.005162
174.4986,0.003077
174.5008,0.002261
174.5027,0.001851
174.5055,0.002798
174.5118,0.006293
174.5157,0.003963
174.5176,0.001858
174.5215,0.003895
174.5264,0.004924
174.5321,0.005661
174.5338,0.001766
174.5378,0.003962
174.5408,0.002981
174.5458,0.004994
174.5486,0.002814
174.5510,0.002463
174.5551,0.004086
174.5598,0.004625
174.5634,0.003630
174.5658,0.002390
174.5690,0.003169
174.5724,0.003478
174.5772,0.004785
174.5797,0.002445
174.5831,0.003464
174.5864,0.003241
174.5896,0.003269
174.5956,0.006005
174.5974,0.001765
174.6004,0.003040
174.6039,0.003431
174.6083,0.004413
174.6118,0.003539
174.6150,0.003138
174.6185,0.003509
174.6216,0.003155
174.6266,0.004932
174.6302,0.003637
174.6336,0.003405
174.6362,0.002592
174.6394,0.003175
174.6444,0.005001
174.6468,0.002430
174.6503,0.003506
174.6546,0.004330
174.6585,0.003891
174.6635,0.004944
174.6654,0.001970
174.6684,0.003006
174.6721,0.003686
174.6778,0.005681
174.6799,0.002123
174.6828,0.002882
174.6860,0.003157
174.6894,0.003406
174.6983,0.008884
174.7035,0.005266
174.7067,0.003221
174.7120,0.005262
174.7146,0.002540
174.7164,0.001865
174.7197,0.003241
174.7248,0.005158
174.7289,0.004059
174.7309,0.002008
174.7352,0.004365
174.7377,0.002422
174.7434,0.005721
174.7462,0.002776
174.7495,0.003297
174.7522,0.002685
174.7561,0.004002
174.7616,0.005473
174.7643,0.002628
174.7687,0.004474
174.7805,0.011809
174.7897,0.009125
174.7920,0.002362
174.7951,0.003044
174.7995,0.004388
174.8102,0.010753
174.8151,0.004854
174.8177,0.002658
174.8206,0.002909
174.8225,0.001865
174.8246,0.002158
174.8291,0.004459
174.8337,0.004569
174.8364,0.002695
174.8383,0.001982
174.8404,0.002070
174.8437,0.003305
174.8497,0.005925
174.8641,0.014490
174.8790,0.014844
174.8812,0.002236
174.8830,0.001748
174.8859,0.002905
174.8878,0.001914
174.8899,0.002158
174.8932,0.003268
174.8997,0.006461
174.9025,0.002799
174.9046,0.002105
174.9065,0.001927
174.9144,0.007860
174.9274,0.013036
174.9382,0.010851
174.9480,0.009794
174.9504,0.002388
174.9528,0.002354
174.9553,0.002524
174.9574,0.002070
174.9621,0.004736
174.9660,0.003892
174.9685,0.002498
174.9706,0.002085
174.9727,0.002143
174.9797,0.006922
174.9837,0.004007
174.9959,0.012216
175.0051,0.009213
175.0081,0.003021
175.0192,0.011126
175.0217,0.002498
175.0235,0.001791
175.0264,0.002836
175.0318,0.005469
175.0342,0.002394
175.0361,0.001853
175.0386,0.002470
175.0408,0.002212
175.0451,0.004323
175.0499,0.004798
175.0516,0.001713
175.0550,0.003444
175.0610,0.005920
175.0665,0.005569
175.0686,0.002063
175.0720,0.003376
175.0760,0.004045
175.0799,0.003855
175.0823,0.002421
175.0857,0.003379
175.0900,0.004321
175.0941,0.004161
175.0972,0.003040
175.1089,0.011686
175.1208,0.011912
175.1327,0.011903
175.1421,0.009414
175.1462,0.004102
175.1482,0.002022
175.1505,0.002226
175.1522,0.001768
175.1546,0.002367
175.1566,0.002040
175.1598,0.003187
175.1668,0.006994
175.1698,0.002969
175.1716,0.001829
175.1761,0.004467
175.1822,0.006147
175.1840,0.001797
175.1870,0.002935
175.1902,0.003282
175.1982,0.007969
175.1999,0.001691
175.2031,0.003162
175.2065,0.003438
175.2119,0.005445
175.2142,0.002290
175.2173,0.003113
175.2206,0.003266
175.2265,0.005882
175.2288,0.002325
175.2318,0.002936
175.2351,0.003349
175.2386,0.003523
175.2432,0.004561
175.2460,0.002847
175.2493,0.003305
175.2525,0.003193
175.2560,0.003477
175.2632,0.007141
175.2656,0.002491
175.2677,0.002088
175.2713,0.003542
175.2758,0.004552
175.2789,0.003028
175.2821,0.003225
175.2855,0.003389
175.2891,0.003655
175.2943,0.005166
175.2964,0.002100
175.2997,0.003341
175.3029,0.003168
175.3064,0.003499
175.3114,0.005004
175.3138,0.002416
175.3170,0.003227
175.3204,0.003333
175.3251,0.004741
175.3284,0.003300
175.3315,0.003118
175.3353,0.003733
175.3384,0.003176
175.3429,0.004441
175.3459,0.003060
175.3492,0.003274
175.3526,0.003416
175.3561,0.003465
175.3605,0.004388
175.3640,0.003465
175.3670,0.003064
175.3717,0.004706
175.3838,0.012114
175.3951,0.011225
175.3973,0.002271
175.3989,0.001611
175.4007,0.001701
175.4026,0.001924
175.4043,0.001738
175.4063,0.001952
175.4137,0.007408
175.4176,0.003979
175.4194,0.001748
175.4224,0.002973
175.4277,0.005319
175.4324,0.004738
175.4343,0.001841
175.4375,0.003186
175.4422,0.004770
175.4482,0.005994
175.4500,0.001751
175.4532,0.003222
175.4599,0.006723
175.4718,0.011841
175.4758,0.004013
175.4784,0.002646
175.4818,0.003338
175.4840,0.002214
175.4856,0.001667
175.4875,0.001914
175.4910,0.003408
175.4962,0.005276
175.4998,0.003551
175.5017,0.001921
175.5050,0.003302
175.5102,0.005228
175.5149,0.004699
175.5169,0.001980
175.5204,0.003469
175.5236,0.003252
175.5313,0.007657
175.5332,0.001909
175.5363,0.003124
175.5396,0.003279
175.5448,0.005180
175.5471,0.002330
175.5506,0.003501
175.5540,0.003421
175.5588,0.004747
175.5618,0.002981
175.5661,0.004317
175.5692,0.003176
175.5722,0.002992
175.5772,0.004917
175.5797,0.002520
175.5831,0.003458
175.5862,0.003010
175.5895,0.003355
175.5944,0.004929
175.5970,0.002553
175.6003,0.003296
175.6036,0.003349
175.6081,0.004494
175.6118,0.003673
175.6149,0.003099
175.6182,0.003325
175.6215,0.003239
175.6261,0.004632
175.6294,0.003275
175.6324,0.003090
175.6358,0.003364
175.6391,0.003285
175.6442,0.005125
175.6464,0.002166
175.6496,0.003253
175.6530,0.003376
175.6566,0.003573
175.6616,0.005027
175.6645,0.002874
175.6678,0.003331
175.6709,0.003040
175.6755,0.004640
175.6790,0.003443
175.6821,0.003171
175.6854,0.003267
175.6889,0.003478
175.6954,0.006498
175.7007,0.005325
175.7035,0.002801
175.7068,0.003280
175.7117,0.004937
175.7141,0.002396
175.7172,0.003123
175.7205,0.003272
175.7256,0.005140
175.7286,0.002937
175.7316,0.003021
175.7350,0.003356
175.7385,0.003542
175.7431,0.004577
175.7459,0.002841
175.7494,0.003444
175.7525,0.003188
175.7561,0.003557
175.7608,0.004736
175.7636,0.002733
175.7672,0.003597
175.7705,0.003319
175.7750,0.004547
175.7784,0.003372
175.7814,0.002989
175.7851,0.003685
175.7883,0.003181
175.7928,0.004575
175.7960,0.003165
175.7993,0.003279
175.8028,0.003480
175.8063,0.003536
175.8108,0.004505
175.8135,0.002679
175.8169,0.003446
175.8201,0.003170
175.8235,0.003380
175.8287,0.005234
175.8311,0.002424
175.8349,0.003755
175.8380,0.003136
175.8428,0.004791
175.8456,0.002756
175.8489,0.003314
175.8522,0.003341
175.8557,0.003456
175.8604,0.004701
175.8629,0.002493
175.8722,0.009312
175.8768,0.004659
175.8800,0.003163
175.8829,0.002882
175.8850,0.002081
175.8867,0.001755
175.8893,0.002620
175.8995,0.010160
175.9070,0.007518
175.9157,0.008720
175.9225,0.006761
175.9394,0.016898
175.9436,0.004250
175.9462,0.002506
175.9480,0.001888
175.9500,0.001919
175.9515,0.001518
175.9538,0.002295
175.9554,0.001647
175.9593,0.003843
175.9624,0.003101
175.9660,0.003616
175.9695,0.003469
175.9727,0.003262
175.9776,0.004883
175.9801,0.002453
175.9834,0.003316
175.9866,0.003253
175.9912,0.004548
175.9953,0.004115
175.9977,0.002370
176.0019,0.004220
176.0050,0.003154
176.0088,0.003744
176.0120,0.003215
176.0153,0.003308
176.0187,0.003429
176.0224,0.003646
176.0272,0.004791
176.0294,0.002288
176.0330,0.003571
176.0365,0.003502
176.0396,0.003122
176.0446,0.004913
176.0479,0.003289
176.0506,0.002696
176.0539,0.003334
176.0599,0.006034
176.0619,0.001963
176.0650,0.003159
176.0695,0.004457
176.0730,0.003500
176.0772,0.004222
176.0798,0.002634
176.0858,0.005900
176.0878,0.002078
176.0922,0.004396
176.0962,0.003971
176.0988,0.002613
176.1021,0.003262
176.1054,0.003334
176.1103,0.004894
176.1131,0.002802
176.1162,0.003144
176.1194,0.003162
176.1230,0.003574
176.1276,0.004581
176.1304,0.002787
176.1339,0.003510
176.1371,0.003203
176.1415,0.004422
176.1452,0.003745
176.1485,0.003235
176.1516,0.003166
176.1550,0.003398
176.1600,0.004971
176.1626,0.002636
176.1660,0.003369
176.1701,0.004135
176.1734,0.003268
176.1780,0.004603
176.1812,0.003141
176.1842,0.003063
176.1873,0.003107
176.1921,0.004786
176.1953,0.003185
176.1985,0.003196
176.2020,0.003533
176.2052,0.003189
176.2103,0.005067
176.2130,0.002695
176.2160,0.003057
176.2201,0.004044
176.2247,0.004675
176.2283,0.003521
176.2305,0.002225
176.2339,0.003372
176.2373,0.003411
176.2414,0.004120
176.2451,0.003666
176.2482,0.003124
176.2514,0.003195
176.2550,0.003645
176.2597,0.004632
176.2625,0.002805
176.2659,0.003412
176.2693,0.003466
176.2733,0.003963
176.2777,0.004362
176.2804,0.002723
176.2839,0.003486
176.2873,0.003417
176.2919,0.004617
176.2960,0.004100
176.2983,0.002254
176.3015,0.003264
176.3050,0.003514
176.3097,0.004654
176.3125,0.002800
176.3157,0.003200
176.3193,0.003583
176.3228,0.003487
176.3276,0.004793
176.3301,0.002546
176.3337,0.003563
176.3369,0.003187
176.3402,0.003301
176.3453,0.005165
176.3477,0.002394
176.3509,0.003221
176.3543,0.003369
176.3589,0.004567
176.3619,0.003024
176.3654,0.003536
176.3687,0.003259
176.3730,0.004282
176.3773,0.004364
176.3801,0.002792
176.3834,0.003300
176.3865,0.003071
176.3898,0.003309
176.3958,0.005959
176.3975,0.001689
176.4006,0.003115
176.4039,0.003277
176.4088,0.004922
176.4118,0.003021
176.4151,0.003346
176.4186,0.003483
176.4219,0.003238
176.4280,0.006127
176.4302,0.002231
176.4329,0.002672
176.4361,0.003225
176.4394,0.003268
176.4453,0.005883
176.4471,0.001866
176.4502,0.003105
176.4536,0.003318
176.4581,0.004529
176.4617,0.003586
176.4646,0.002970
176.4681,0.003421
176.4718,0.003721
176.4764,0.004587
176.4794,0.003062
176.4826,0.003156
176.4858,0.003227
176.4897,0.003877
176.4940,0.004330
176.4966,0.002596
176.5000,0.003418
176.5033,0.003230
176.5070,0.003744
176.5120,0.004953
176.5143,0.002374
176.5176,0.003227
176.5210,0.003443
176.5255,0.004528
176.5286,0.003055
176.5319,0.003316
176.5353,0.003395
176.5388,0.003511
176.5436,0.004748
176.5460,0.002466
176.5495,0.003487
176.5531,0.003561
176.5563,0.003266
176.5612,0.004881
176.5639,0.002686
176.5674,0.003480
176.5707,0.003275
176.5759,0.005281
176.5788,0.002833
176.5823,0.003558
176.5855,0.003155
176.5889,0.003363
176.5935,0.004622
176.5961,0.002672
176.5996,0.003420
176.6028,0.003179
176.6061,0.003385
176.6112,0.005038
176.6138,0.002581
176.6169,0.003172
176.6202,0.003297
176.6251,0.004869
176.6284,0.003313
176.6313,0.002949
176.6349,0.003521
176.6381,0.003233
176.6432,0.005079
176.6460,0.002857
176.6491,0.003028
176.6524,0.003293
176.6557,0.003304
176.6608,0.005176
176.6634,0.002523
176.6664,0.003076
176.6697,0.003219
176.6742,0.004582
176.6790,0.004792
176.6810,0.001915
176.6844,0.003414
176.6877,0.003299
176.6930,0.005339
176.6999,0.006935
176.7022,0.002221
176.7057,0.003593
176.7104,0.004623
176.7128,0.002444
176.7161,0.003313
176.7194,0.003291
176.7234,0.003933
176.7277,0.004299
176.7304,0.002757
176.7338,0.003427
176.7370,0.003158
176.7416,0.004608
176.7462,0.004586
176.7609,0.014667
176.7634,0.002492
176.7652,0.001852
176.7671,0.001927
176.7687,0.001529
176.7707,0.002076
176.7723,0.001604
176.7782,0.005823
176.7848,0.006640
176.7868,0.002029
176.7892,0.002393
176.7959,0.006655
176.8004,0.004484
176.8025,0.002110
176.8059,0.003405
176.8109,0.005050
176.8172,0.006251
176.8189,0.001744
176.8220,0.003101
176.8266,0.004615
176.8295,0.002846
176.8327,0.003263
176.8361,0.003353
176.8397,0.003578
176.8443,0.004573
176.8470,0.002768
176.8504,0.003347
176.8536,0.003201
176.8576,0.004029
176.8618,0.004186
176.8649,0.003115
176.8681,0.003255
176.8714,0.003285
176.8773,0.005856
176.8796,0.002313
176.8829,0.003341
176.8862,0.003227
176.8899,0.003706
176.8957,0.005784
176.8975,0.001817
176.9009,0.003386
176.9041,0.003227
176.9086,0.004456
176.9119,0.003362
176.9151,0.003218
176.9185,0.003347
176.9221,0.003630
176.9270,0.004920
176.9293,0.002290
176.9327,0.003411
176.9359,0.003189
176.9393,0.003374
176.9444,0.005144
176.9469,0.002496
176.9501,0.003145
176.9534,0.003351
176.9583,0.004895
176.9614,0.003069
176.9648,0.003362
176.9682,0.003493
176.9716,0.003395
