CPU DeltaTime (s), Shader DeltaTime (s)
0.0111,0.024548
0.0005,0.000368
0.0007,0.000357
0.0017,0.000519
0.0010,0.000478
0.0013,0.001203
0.0007,0.000493
0.0003,0.000479
0.0004,0.000265
0.0013,0.000253
0.0014,0.000481
0.0020,0.000969
0.0007,0.000535
0.0009,0.000476
0.0020,0.001248
0.0005,0.001030
0.0010,0.000688
0.0014,0.001506
0.0013,0.000502
0.0013,0.000443
0.0015,0.000490
0.0005,0.000531
0.0014,0.000479
0.0016,0.000449
0.0014,0.000439
0.0013,0.000623
0.0012,0.000485
0.0014,0.000478
0.0015,0.000471
0.0012,0.000496
0.0011,0.000477
0.0016,0.000420
0.0007,0.000556
0.0006,0.000255
0.0013,0.000453
0.0015,0.000468
0.0009,0.000507
0.0007,0.000457
0.0016,0.000645
0.0013,0.000464
0.0014,0.000792
0.0009,0.000521
0.0013,0.000471
0.0015,0.000471
0.0016,0.000918
0.0007,0.000511
0.0015,0.000517
0.0016,0.000682
0.0018,0.001048
0.0010,0.000472
0.0014,0.000490
0.0012,0.000495
0.0004,0.000247
0.0014,0.000456
0.0014,0.000470
0.0016,0.001321
0.0008,0.000496
0.0006,0.000494
0.0014,0.000614
0.0016,0.000563
0.0007,0.000544
0.0010,0.000522
0.0019,0.000752
0.0005,0.000506
0.0011,0.000511
0.0016,0.000862
0.0005,0.000478
0.0004,0.000450
0.0008,0.000514
0.0018,0.001294
0.0010,0.000483
0.0014,0.000487
0.0014,0.000541
0.0017,0.000656
0.0013,0.000485
0.0012,0.000481
0.0015,0.000527
0.0016,0.000550
0.0012,0.000482
0.0015,0.000481
0.0016,0.000450
0.0017,0.000709
0.0010,0.000768
0.0012,0.000849
0.0008,0.000808
0.0008,0.000513
0.0008,0.000698
0.0008,0.000772
0.0023,0.000373
0.0008,0.000716
0.0009,0.000718
0.0016,0.000727
0.0008,0.000507
0.0008,0.000712
0.0015,0.000416
0.0006,0.000432
0.0014,0.000789
0.0016,0.001072
0.0010,0.000551
0.0014,0.000575
0.0016,0.000426
0.0019,0.000519
0.0011,0.000566
0.0007,0.000647
0.0009,0.000508
0.0006,0.001091
0.0011,0.000558
0.0010,0.000417
0.0008,0.000731
0.0007,0.000745
0.0012,0.000276
0.0008,0.000763
0.0007,0.000696
0.0013,0.001212
0.0006,0.000661
0.0009,0.000726
0.0010,0.000714
0.0058,0.000427
0.0008,0.000419
0.0018,0.000636
0.0008,0.000519
0.0009,0.000703
0.0008,0.000800
0.0006,0.000671
0.0009,0.000728
0.0009,0.000753
0.0022,0.000610
0.0009,0.000522
0.0010,0.000661
0.0011,0.000695
0.0005,0.000383
0.0015,0.000695
0.0028,0.000761
0.0007,0.000504
0.0010,0.000904
0.0015,0.000573
0.0009,0.001403
0.0009,0.000915
0.0019,0.000713
0.0008,0.000671
0.0021,0.000428
0.0005,0.000750
0.0010,0.000776
0.0012,0.000852
0.0007,0.000543
0.0008,0.000824
0.0010,0.000675
0.0011,0.000537
0.0011,0.000800
0.0008,0.000532
0.0018,0.000451
0.0011,0.000840
0.0007,0.000747
0.0015,0.000842
0.0005,0.000701
0.0009,0.000650
0.0007,0.000741
0.0006,0.000664
0.0008,0.000553
0.0011,0.000786
0.0010,0.000697
0.0005,0.000389
0.0004,0.000315
0.0004,0.000296
0.0008,0.000407
0.0004,0.000276
0.0014,0.000467
0.0014,0.000480
0.0015,0.000862
0.0012,0.000681
0.0007,0.000469
0.0012,0.000793
0.0018,0.000442
0.0005,0.000512
0.0014,0.000581
0.0018,0.001361
0.0005,0.000475
0.0013,0.000487
0.0013,0.000454
0.0007,0.000528
0.0012,0.000458
0.0015,0.000491
0.0012,0.000458
0.0012,0.000509
0.0013,0.000497
0.0013,0.000515
0.0014,0.000515
0.0010,0.000439
0.0012,0.000488
0.0014,0.000474
0.0015,0.000442
0.0006,0.000432
0.0008,0.000629
0.0013,0.000512
0.0013,0.000907
0.0009,0.000445
0.0012,0.000525
0.0011,0.000493
0.0016,0.000779
0.0008,0.000503
0.0012,0.000495
0.0015,0.000473
0.0015,0.000802
0.0007,0.000950
0.0013,0.000490
0.0015,0.000608
0.0018,0.001218
0.0012,0.000521
0.0014,0.000475
0.0014,0.000474
0.0004,0.000260
0.0012,0.000500
0.0014,0.000476
0.0022,0.001080
0.0007,0.000319
0.0010,0.000719
0.0014,0.001812
0.0014,0.000479
0.0012,0.000469
0.0015,0.000879
0.0020,0.000473
0.0012,0.000500
0.0008,0.000483
0.0007,0.000517
0.0013,0.000531
0.0013,0.000475
0.0014,0.000454
0.0011,0.000484
0.0012,0.000495
0.0014,0.000495
0.0015,0.000492
0.0006,0.000507
0.0013,0.000482
0.0015,0.000508
0.0013,0.000445
0.0011,0.000600
0.0014,0.000450
0.0013,0.000508
0.0015,0.000496
0.0018,0.000487
0.0011,0.000727
0.0012,0.000464
0.0015,0.000877
0.0005,0.000463
0.0012,0.000531
0.0012,0.000478
0.0014,0.001523
0.0012,0.000485
0.0014,0.000449
0.0014,0.000500
0.0020,0.000814
0.0013,0.000514
0.0010,0.000468
0.0010,0.000476
0.0004,0.000289
0.0015,0.000571
0.0015,0.000470
0.0021,0.001187
0.0008,0.000436
0.0009,0.000625
0.0017,0.001385
0.0011,0.000756
0.0009,0.000543
0.0011,0.001605
0.0015,0.000484
0.0010,0.000586
0.0019,0.001038
0.0010,0.000478
0.0014,0.000504
0.0016,0.000540
0.0010,0.000486
0.0013,0.000559
0.0014,0.000478
0.0013,0.000488
0.0016,0.000532
0.0013,0.000454
0.0013,0.000485
0.0013,0.000472
0.0016,0.000467
0.0012,0.000473
0.0015,0.000467
0.0011,0.000461
0.0014,0.000966
0.0014,0.000466
0.0013,0.000641
0.0013,0.000447
0.0010,0.000485
0.0014,0.000469
0.0013,0.000569
0.0008,0.000494
0.0012,0.000466
0.0011,0.000484
0.0013,0.000486
0.0014,0.000439
0.0006,0.000501
0.0015,0.000521
0.0014,0.000478
0.0013,0.000479
0.0005,0.000304
0.0014,0.000483
0.0016,0.000468
0.0023,0.000914
0.0008,0.000354
0.0012,0.000608
0.0019,0.001312
0.0007,0.000536
0.0009,0.000492
0.0016,0.001221
0.0010,0.000454
0.0013,0.000471
0.0014,0.000471
0.0009,0.000363
0.0011,0.000473
0.0015,0.000466
0.0013,0.000448
0.0010,0.000334
0.0013,0.000481
0.0013,0.000467
0.0015,0.000659
0.0008,0.000251
0.0013,0.000469
0.0015,0.000449
0.0015,0.000486
0.0006,0.000507
0.0013,0.000473
0.0015,0.000452
0.0013,0.000457
0.0010,0.000499
0.0008,0.000590
0.0013,0.000656
0.0014,0.000655
0.0005,0.000492
0.0013,0.000477
0.0015,0.000469
0.0012,0.000733
0.0005,0.000520
0.0014,0.000457
0.0014,0.000490
0.0014,0.000770
0.0010,0.000497
0.0015,0.000624
0.0013,0.000486
0.0016,0.001212
0.0003,0.000236
0.0016,0.000465
0.0014,0.000774
0.0012,0.000874
0.0007,0.000488
0.0012,0.000525
0.0013,0.000774
0.0006,0.000536
0.0011,0.000481
0.0019,0.001236
0.0005,0.000493
0.0012,0.000482
0.0015,0.000464
0.0005,0.000645
0.0012,0.000693
0.0014,0.000459
0.0014,0.000681
0.0010,0.000364
0.0012,0.000483
0.0013,0.000477
0.0016,0.000853
0.0009,0.000511
0.0013,0.000539
0.0014,0.000484
0.0016,0.001336
0.0008,0.000488
0.0014,0.000472
0.0016,0.000468
0.0018,0.000938
0.0014,0.000500
0.0013,0.000620
0.0013,0.000611
0.0017,0.000514
0.0016,0.000472
0.0007,0.000455
0.0010,0.000508
0.0012,0.000544
0.0011,0.000522
0.0014,0.000487
0.0010,0.000482
0.0007,0.000388
0.0014,0.000482
0.0015,0.000577
0.0012,0.000509
0.0012,0.000402
0.0003,0.000247
0.0016,0.000491
0.0023,0.000865
0.0006,0.000601
0.0012,0.000533
0.0015,0.001267
0.0016,0.000570
0.0007,0.000555
0.0014,0.000479
0.0011,0.000656
0.0010,0.000499
0.0012,0.000494
0.0014,0.001512
0.0012,0.000499
0.0014,0.000471
0.0013,0.000489
0.0020,0.000711
0.0035,0.000274
0.0015,0.000464
0.0016,0.000875
0.0005,0.000508
0.0010,0.000481
0.0015,0.000477
0.0015,0.001643
0.0011,0.000503
0.0014,0.000475
0.0014,0.000519
