pressure reset, projection, velocity advection, smoke advection, mergeObjects, rendering
0.000007,0.000210,0.000037,0.000025,0.000006,0.000007
0.000006,0.000212,0.000052,0.000017,0.000009,0.000011
0.000005,0.000217,0.000068,0.000017,0.000011,0.000010
0.000007,0.000233,0.000070,0.000022,0.000014,0.000027
0.000006,0.000216,0.000063,0.000019,0.000010,0.000009
0.000004,0.000218,0.000053,0.000017,0.000010,0.000014
0.000006,0.000345,0.000090,0.000031,0.000025,0.000021
0.000004,0.000208,0.000049,0.000022,0.000010,0.000012
0.000004,0.000216,0.000049,0.000022,0.000013,0.000016
0.000022,0.000245,0.000134,0.000058,0.000029,0.000024
0.000004,0.000212,0.000050,0.000017,0.000008,0.000010
0.000009,0.000215,0.000044,0.000012,0.000006,0.000006
0.000008,0.000232,0.000102,0.000033,0.000017,0.000021
0.000004,0.000209,0.000039,0.000014,0.000008,0.000007
0.000008,0.000249,0.000052,0.000027,0.000013,0.000011
0.000008,0.000215,0.000065,0.000023,0.000012,0.000010
0.000005,0.000209,0.000041,0.000015,0.000007,0.000008
0.000009,0.000213,0.000046,0.000015,0.000008,0.000010
0.000006,0.000211,0.000039,0.000014,0.000008,0.000008
0.000004,0.000222,0.000064,0.000038,0.000027,0.000025
0.000019,0.000224,0.000050,0.000014,0.000006,0.000007
0.000004,0.000207,0.000044,0.000016,0.000007,0.000008
0.000006,0.000226,0.000052,0.000018,0.000010,0.000009
0.000006,0.000212,0.000057,0.000022,0.000012,0.000011
0.000004,0.000213,0.000051,0.000015,0.000006,0.000010
0.000008,0.000220,0.000058,0.000017,0.000010,0.000013
0.000004,0.000209,0.000050,0.000022,0.000013,0.000015
0.000005,0.000200,0.000043,0.000020,0.000012,0.000010
0.000012,0.000298,0.000042,0.000016,0.000007,0.000007
0.000021,0.000252,0.000135,0.000040,0.000024,0.000030
0.000011,0.000218,0.000051,0.000016,0.000010,0.000011
0.000008,0.000231,0.000066,0.000018,0.000011,0.000012
0.000004,0.000209,0.000052,0.000020,0.000011,0.000013
0.000004,0.000216,0.000047,0.000014,0.000010,0.000009
0.000006,0.000211,0.000063,0.000023,0.000013,0.000013
0.000006,0.000204,0.000035,0.000015,0.000006,0.000006
0.000019,0.000244,0.000111,0.000041,0.000030,0.000032
0.000006,0.000213,0.000051,0.000016,0.000008,0.000010
0.000007,0.000230,0.000097,0.000024,0.000011,0.000010
0.000007,0.000218,0.000049,0.000018,0.000011,0.000009
0.000023,0.000274,0.000168,0.000066,0.000048,0.000040
0.000004,0.000211,0.000058,0.000021,0.000012,0.000012
0.000008,0.000213,0.000049,0.000018,0.000018,0.000019
0.000019,0.000255,0.000125,0.000042,0.000033,0.000020
0.000004,0.000211,0.000072,0.000019,0.000009,0.000009
0.000007,0.000215,0.000055,0.000019,0.000013,0.000012
0.000037,0.000331,0.000220,0.000032,0.000026,0.000023
0.000010,0.000220,0.000045,0.000019,0.000010,0.000010
0.000005,0.000214,0.000055,0.000022,0.000011,0.000013
